proband_id,Session_Duration (hours),Calories_Burned,Workout_Type
286,1.49,1072.8,Yoga
287,0.96,1161.6,HIIT
288,1.41,1351.34,Cardio
289,1.02,979.2,Cardio
290,0.8,968.88,HIIT
291,0.74,487.51,Yoga
292,0.54,653.4,HIIT
293,1.22,1474.86,HIIT
294,1.65,1716.0,Cardio
295,1.71,1334.83,Yoga
296,1.39,1502.45,Strength
297,1.0,1321.1,HIIT
298,0.72,633.02,Cardio
299,1.01,887.18,Cardio
300,1.33,1752.67,HIIT
301,0.61,535.82,Cardio
302,1.93,2008.74,Cardio
303,1.72,2455.82,HIIT
304,0.73,885.71,HIIT
305,1.01,726.59,Yoga
306,1.45,1752.9,HIIT
307,1.9,2226.42,Strength
308,0.82,722.26,Cardio
309,1.49,1607.86,Strength
310,1.78,2081.0,Strength
311,0.61,738.1,HIIT
312,1.93,2755.65,HIIT
313,1.04,1365.94,HIIT
314,1.37,1483.3,Strength
315,1.85,1924.0,Cardio
316,0.71,469.03,Yoga
317,1.8,1869.12,Cardio
318,1.26,1661.81,HIIT
319,1.71,1775.66,Cardio
320,1.03,1113.33,Strength
321,0.52,457.18,Cardio
322,0.75,660.0,Cardio
323,1.84,1913.6,Cardio
324,0.71,469.03,Yoga
325,1.06,932.8,Cardio
326,1.09,1046.4,Cardio
327,0.83,731.06,Cardio
328,1.12,1073.41,Cardio
329,0.55,484.0,Cardio
330,1.62,1895.4,Strength
331,1.34,1770.27,HIIT
332,1.06,1018.45,Cardio
333,1.25,1197.0,Cardio
334,1.15,828.0,Yoga
335,0.67,663.3,Strength
336,1.57,1839.73,Strength
337,1.17,841.7,Yoga
338,1.48,975.91,Yoga
339,1.06,1050.35,Strength
340,0.64,772.99,HIIT
341,1.9,2717.0,HIIT
342,0.74,893.77,HIIT
343,1.23,887.81,Yoga
344,1.6,2289.76,HIIT
345,1.33,1606.37,HIIT
346,0.59,389.75,Yoga
347,1.42,1874.4,HIIT
348,1.02,734.4,Yoga
349,1.08,1167.37,Strength
350,1.01,1088.98,Strength
351,1.45,958.74,Yoga
352,1.2,1188.0,Strength
353,0.56,369.26,Yoga
354,1.43,1890.75,HIIT
355,1.35,1779.03,HIIT
356,1.52,1182.86,Yoga
357,1.09,1321.3,HIIT
358,0.81,534.6,Yoga
359,1.07,769.76,Yoga
360,1.01,1337.64,HIIT
361,1.41,1521.53,Strength
362,1.75,2050.65,Strength
363,0.69,607.75,Cardio
364,0.81,712.8,Cardio
365,0.66,435.6,Yoga
366,1.02,1101.6,Strength
367,1.39,1498.7,Strength
368,1.39,1377.35,Strength
369,0.8,967.12,HIIT
370,1.11,977.69,Cardio
371,1.19,1573.42,HIIT
372,1.2,1294.92,Strength
373,0.5,330.0,Yoga
374,1.02,979.2,Cardio
375,0.73,481.8,Yoga
376,1.86,1449.68,Yoga
377,1.34,1625.82,HIIT
378,1.43,1544.4,Strength
379,1.28,844.8,Yoga
380,1.73,2022.54,Strength
381,1.31,940.84,Yoga
382,1.19,1283.06,Strength
383,1.84,2631.2,HIIT
384,1.13,993.5,Cardio
385,1.81,1411.8,Yoga
386,1.41,1393.36,Strength
387,1.13,992.59,Cardio
388,0.59,388.69,Yoga
389,0.5,605.0,HIIT
390,1.29,926.48,Yoga
391,1.26,1525.99,HIIT
392,1.2,1584.0,HIIT
393,0.58,701.16,HIIT
394,1.15,827.31,Yoga
395,1.08,711.5,Yoga
396,1.13,745.8,Yoga
397,0.65,570.96,Cardio
398,1.38,1818.56,HIIT
399,1.26,1211.62,Cardio
400,1.4,1510.74,Strength
401,1.1,1188.0,Strength
402,1.27,1259.59,Strength
403,0.69,683.1,Strength
404,1.29,1236.34,Cardio
405,0.57,564.3,Strength
406,1.72,1340.57,Yoga
407,1.75,1822.8,Cardio
408,1.49,1313.58,Cardio
409,1.66,1298.78,Yoga
410,1.34,1324.19,Strength
411,1.91,2731.3,HIIT
412,1.17,771.5,Yoga
413,1.31,1585.1,HIIT
414,1.04,1371.66,HIIT
415,1.4,1514.52,Strength
416,1.19,1141.45,Cardio
417,0.7,691.11,Strength
418,1.1,1331.0,HIIT
419,1.35,1459.22,Strength
420,1.38,1491.64,Strength
421,1.93,2762.02,HIIT
422,1.12,737.86,Yoga
423,1.31,1415.98,Strength
424,1.88,2197.91,Strength
425,1.36,980.83,Yoga
426,1.19,1439.9,HIIT
427,1.66,2370.15,HIIT
428,1.3,934.44,Yoga
429,1.33,1435.2,Strength
430,1.33,1437.6,Strength
431,1.46,1052.08,Yoga
432,1.15,1103.08,Cardio
433,1.25,900.0,Yoga
434,1.67,1953.9,Strength
435,1.99,2328.3,Strength
436,1.72,2010.85,Strength
437,1.49,1429.21,Cardio
438,1.13,745.8,Yoga
439,1.59,1239.25,Yoga
440,1.61,1671.82,Cardio
441,1.22,1315.4,Strength
442,2.01,2876.51,HIIT
443,1.97,1535.42,Yoga
444,1.47,1587.6,Strength
445,1.03,906.4,Cardio
446,1.23,811.06,Yoga
447,1.42,1023.25,Yoga
448,1.18,1274.4,Strength
449,0.98,1186.88,HIIT
450,0.58,700.52,HIIT
451,1.05,1270.5,HIIT
452,1.37,1806.89,HIIT
453,1.28,1383.55,Strength
454,1.71,2003.78,Strength
455,1.17,1263.6,Strength
456,1.89,1965.6,Cardio
457,1.3,858.0,Yoga
458,1.66,1723.74,Cardio
459,1.48,1064.71,Yoga
460,1.97,2819.27,HIIT
461,1.57,1223.66,Yoga
462,1.0,1080.9,Strength
463,1.17,1415.7,HIIT
464,1.08,1306.8,HIIT
465,1.27,1538.1,HIIT
466,0.55,482.24,Cardio
467,2.01,2346.27,Strength
468,1.18,848.18,Yoga
469,1.24,1499.04,HIIT
470,1.0,718.8,Yoga
471,1.1,792.0,Yoga
472,1.62,1895.4,Strength
473,0.99,652.81,Yoga
474,1.23,1181.78,Cardio
475,0.8,703.36,Cardio
476,1.17,1159.35,Strength
477,0.61,738.1,HIIT
478,1.08,1309.18,HIIT
479,1.41,1861.2,HIIT
480,1.51,1178.71,Yoga
481,1.26,1247.4,Strength
482,1.46,1925.59,HIIT
483,0.68,822.8,HIIT
484,1.76,2059.2,Strength
485,1.04,1123.2,Strength
486,0.64,634.75,Strength
487,1.25,1239.75,Strength
488,1.31,1296.9,Strength
489,1.0,1212.2,HIIT
490,1.76,1830.4,Cardio
491,1.19,1573.42,HIIT
492,1.13,1366.06,HIIT
493,1.8,1872.0,Cardio
494,1.39,1376.1,Strength
495,1.96,2036.83,Cardio
496,0.74,651.2,Cardio
497,0.9,892.62,Strength
498,0.56,369.26,Yoga
499,0.69,455.4,Yoga
500,0.79,954.16,HIIT
501,1.14,820.12,Yoga
502,1.77,2529.15,HIIT
503,0.55,666.1,HIIT
504,0.83,1003.39,HIIT
505,1.07,1028.06,Cardio
506,1.82,2596.59,HIIT
507,1.28,1127.42,Cardio
508,1.45,1435.5,Strength
509,1.44,1556.5,Strength
510,0.98,971.96,Strength
511,1.2,1585.32,HIIT
512,0.97,959.43,Strength
513,1.19,1572.11,HIIT
514,1.35,970.38,Yoga
515,1.49,1072.8,Yoga
516,0.64,563.2,Cardio
517,0.98,972.85,Strength
518,1.02,896.78,Cardio
519,1.22,1314.31,Strength
520,1.01,1332.09,HIIT
521,1.1,1450.79,HIIT
522,1.3,936.78,Yoga
523,0.72,871.2,HIIT
524,1.12,739.87,Yoga
525,1.78,2541.48,HIIT
526,0.84,1017.32,HIIT
527,1.78,1849.78,Cardio
528,1.35,1777.54,HIIT
529,1.39,917.4,Yoga
530,1.99,2845.7,HIIT
531,1.25,1200.0,Cardio
532,1.07,1027.2,Cardio
533,0.61,536.8,Cardio
534,1.32,872.78,Yoga
535,1.16,1114.53,Cardio
536,0.96,846.34,Cardio
537,1.29,1394.36,Strength
538,1.55,1613.24,Cardio
539,1.66,1943.69,Strength
540,1.2,1297.08,Strength
541,1.02,896.78,Cardio
542,1.46,965.35,Yoga
543,1.13,1490.36,HIIT
544,1.65,1717.32,Cardio
545,1.2,1057.92,Cardio
546,0.76,668.19,Cardio
547,1.88,1467.53,Yoga
548,1.63,1905.63,Strength
549,1.33,1609.3,HIIT
550,1.13,1218.37,Strength
551,0.52,343.2,Yoga
552,1.39,1683.43,HIIT
553,1.76,1831.81,Cardio
554,1.31,1417.16,Strength
555,1.63,1269.44,Yoga
556,0.74,488.84,Yoga
557,1.13,1219.38,Strength
558,1.07,1028.06,Cardio
559,1.93,1504.24,Yoga
560,1.0,1079.1,Strength
561,1.86,2177.87,Strength
562,0.91,600.05,Yoga
563,1.31,863.03,Yoga
564,0.97,960.3,Strength
565,1.03,1111.47,Strength
566,1.33,1277.86,Cardio
567,0.59,585.16,Strength
568,1.07,771.04,Yoga
569,1.42,1874.4,HIIT
570,1.47,1940.4,HIIT
571,1.97,2819.27,HIIT
572,1.99,2331.88,Strength
573,1.8,1401.84,Yoga
574,1.09,720.05,Yoga
575,1.08,778.9,Yoga
576,1.71,1777.03,Cardio
577,1.31,1727.76,HIIT
578,1.23,1083.38,Cardio
579,1.46,1440.14,Strength
580,1.67,2389.94,HIIT
581,1.64,1709.54,Cardio
582,1.99,2069.6,Cardio
583,1.15,1244.07,Strength
584,0.77,679.45,Cardio
585,1.46,964.48,Yoga
586,1.48,1955.23,HIIT
587,1.08,1068.23,Strength
588,0.54,356.72,Yoga
589,0.51,336.29,Yoga
590,1.46,1922.38,HIIT
591,0.8,966.24,HIIT
592,1.48,1420.8,Cardio
593,1.05,1133.06,Strength
594,1.1,1055.12,Cardio
595,1.08,1167.37,Strength
596,1.03,1018.77,Strength
597,1.98,2057.62,Cardio
598,1.46,1575.49,Strength
599,0.85,747.32,Cardio
600,1.06,1018.45,Cardio
601,1.71,2449.06,HIIT
602,1.12,1210.61,Strength
603,1.37,985.58,Yoga
604,1.78,1389.47,Yoga
605,1.89,2704.78,HIIT
606,1.43,1027.88,Yoga
607,1.03,1358.47,HIIT
608,1.86,1938.86,Cardio
609,1.24,1187.42,Cardio
610,0.54,535.57,Strength
611,1.96,2287.91,Strength
612,1.82,1419.6,Yoga
613,0.54,356.72,Yoga
614,1.29,1238.4,Cardio
615,1.26,1211.62,Cardio
616,1.4,1341.76,Cardio
617,0.71,469.03,Yoga
618,1.01,667.81,Yoga
619,1.2,1587.96,HIIT
620,1.14,1376.89,HIIT
621,0.96,1163.71,HIIT
622,1.18,848.18,Yoga
623,1.41,1358.11,Cardio
624,0.5,605.0,HIIT
625,1.78,2547.36,HIIT
626,1.39,1225.42,Cardio
627,1.17,1262.55,Strength
628,1.93,2256.36,Strength
629,0.82,541.2,Yoga
630,1.26,906.44,Yoga
631,1.67,2388.1,HIIT
632,1.42,1363.2,Cardio
633,1.32,1304.42,Strength
634,1.2,1151.04,Cardio
635,1.56,1825.2,Strength
636,0.75,658.8,Cardio
637,0.56,677.6,HIIT
638,1.87,2667.93,HIIT
639,1.83,2137.81,Strength
640,1.8,1404.0,Yoga
641,1.09,1440.0,HIIT
642,1.46,1445.4,Strength
643,0.8,968.88,HIIT
644,1.43,1544.4,Strength
645,1.86,2172.85,Strength
646,1.45,1044.87,Yoga
647,1.28,1229.82,Cardio
648,1.19,1569.49,HIIT
649,1.73,1350.44,Yoga
650,1.24,817.66,Yoga
651,1.44,1553.9,Strength
652,1.55,1812.1,Strength
653,1.24,1636.8,HIIT
654,0.96,951.26,Strength
655,1.84,2631.2,HIIT
656,0.78,514.8,Yoga
657,1.51,1448.39,Cardio
658,1.57,1838.31,Strength
659,1.14,1095.31,Cardio
660,0.63,623.13,Strength
661,1.49,1607.86,Strength
662,1.29,1392.04,Strength
663,1.04,749.42,Yoga
664,0.58,382.8,Yoga
665,0.92,1115.22,HIIT
666,0.68,824.3,HIIT
667,1.49,1966.8,HIIT
668,1.41,931.45,Yoga
669,1.4,1694.0,HIIT
670,1.43,1371.66,Cardio
671,1.46,1049.45,Yoga
672,1.44,1553.9,Strength
673,1.15,1242.0,Strength
674,1.23,886.34,Yoga
675,1.49,1963.52,HIIT
676,0.85,841.5,Strength
677,1.45,1563.39,Strength
678,1.02,1345.28,HIIT
679,1.13,1222.43,Strength
680,1.39,1503.7,Strength
681,1.29,1238.4,Cardio
682,1.1,1447.16,HIIT
683,1.53,2189.58,HIIT
684,1.02,734.4,Yoga
685,0.94,929.75,Strength
686,1.15,1239.93,Strength
687,1.51,1330.01,Cardio
688,1.06,1145.75,Strength
689,1.41,1355.86,Cardio
690,1.43,1886.03,HIIT
691,1.71,2445.3,HIIT
692,1.12,739.2,Yoga
693,1.57,1839.73,Strength
694,1.04,1124.14,Strength
695,1.27,1370.46,Strength
696,1.07,1294.7,HIIT
697,1.9,2223.0,Strength
698,1.14,819.43,Yoga
699,0.9,792.0,Cardio
700,1.27,1220.22,Cardio
701,1.74,2034.23,Strength
702,1.3,936.0,Yoga
703,1.3,1718.86,HIIT
704,0.8,967.12,HIIT
705,1.0,1317.8,HIIT
706,1.36,1347.62,Strength
707,0.75,660.6,Cardio
708,1.38,1492.88,Strength
709,1.08,1306.8,HIIT
710,1.28,1384.7,Strength
711,1.15,1388.97,HIIT
712,0.61,535.82,Cardio
713,1.28,1228.8,Cardio
714,1.3,936.78,Yoga
715,1.05,1134.0,Strength
716,1.47,1412.38,Cardio
717,1.93,2259.84,Strength
718,0.75,906.68,HIIT
719,1.15,1240.97,Strength
720,1.04,916.86,Cardio
721,1.22,876.94,Yoga
722,0.68,598.4,Cardio
723,1.18,851.02,Yoga
724,1.1,1188.0,Strength
725,0.59,583.57,Strength
726,1.13,1219.38,Strength
727,1.3,1406.34,Strength
728,0.95,941.36,Strength
729,1.33,956.0,Yoga
730,1.28,1230.85,Cardio
731,0.93,819.14,Cardio
732,1.67,2391.77,HIIT
733,1.48,1302.4,Cardio
734,1.15,829.38,Yoga
735,0.74,651.79,Cardio
736,1.02,1236.44,HIIT
737,1.47,1587.6,Strength
738,0.76,752.4,Strength
739,1.14,1004.11,Cardio
740,1.06,763.2,Yoga
741,1.33,1757.06,HIIT
742,1.57,2243.37,HIIT
743,1.27,1220.22,Cardio
744,1.46,1444.09,Strength
745,0.65,427.83,Yoga
746,1.0,1212.2,HIIT
747,1.59,1656.14,Cardio
748,1.9,2714.91,HIIT
749,1.33,1276.8,Cardio
750,0.91,800.8,Cardio
751,1.37,1811.41,HIIT
752,0.68,447.98,Yoga
753,1.27,1370.46,Strength
754,1.48,1421.98,Cardio
755,1.83,2144.39,Strength
756,0.61,536.8,Cardio
757,1.01,891.22,Cardio
758,1.33,1757.06,HIIT
759,1.08,950.4,Cardio
760,1.16,1113.6,Cardio
761,1.45,1568.61,Strength
762,0.97,1176.9,HIIT
763,1.01,998.08,Strength
764,1.36,1793.7,HIIT
765,1.08,1166.4,Strength
766,0.66,579.74,Cardio
767,1.15,1243.04,Strength
768,0.51,618.22,HIIT
769,1.14,1503.55,HIIT
770,1.42,1365.47,Cardio
771,1.48,1958.48,HIIT
772,1.39,1224.31,Cardio
773,1.08,950.4,Cardio
774,1.71,1334.83,Yoga
775,1.38,909.14,Yoga
776,0.73,481.8,Yoga
777,1.81,1880.95,Cardio
778,0.84,737.86,Cardio
779,1.29,929.57,Yoga
780,0.93,613.24,Yoga
781,0.61,536.8,Cardio
782,1.94,2269.8,Strength
783,0.73,723.36,Strength
784,1.06,1017.6,Cardio
785,1.23,1624.95,HIIT
786,0.73,641.82,Cardio
787,1.88,2201.29,Strength
788,0.95,836.76,Cardio
789,1.13,1084.8,Cardio
790,0.67,809.96,HIIT
791,0.85,560.49,Yoga
792,1.23,812.54,Yoga
793,0.9,790.56,Cardio
794,1.66,1727.73,Cardio
795,1.21,1196.81,Strength
796,1.7,1989.0,Strength
797,1.41,930.6,Yoga
798,1.19,858.94,Yoga
799,1.46,1401.6,Cardio
800,1.38,1324.8,Cardio
801,1.19,1285.2,Strength
802,1.0,660.6,Yoga
803,1.04,996.74,Cardio
804,1.79,1864.46,Cardio
805,1.77,2069.31,Strength
806,1.97,2051.95,Cardio
807,1.48,1599.73,Strength
808,1.02,673.2,Yoga
809,0.9,1089.0,HIIT
810,1.08,950.4,Cardio
811,1.84,1906.24,Cardio
812,1.4,1344.0,Cardio
813,1.2,1586.64,HIIT
814,1.94,1512.04,Yoga
815,1.44,1429.49,Strength
816,1.14,1381.91,HIIT
817,1.32,1307.99,Strength
818,1.1,1188.0,Strength
819,1.39,1499.95,Strength
820,0.69,682.48,Strength
821,1.82,1418.51,Yoga
822,0.75,661.2,Cardio
823,0.69,456.23,Yoga
824,1.09,957.46,Cardio
825,0.53,349.8,Yoga
826,1.16,1021.73,Cardio
827,1.13,1221.42,Strength
828,1.16,1531.2,HIIT
829,1.97,2048.8,Cardio
830,1.84,2154.46,Strength
831,1.88,2196.22,Strength
832,2.0,2083.2,Cardio
833,1.29,1705.64,HIIT
834,1.21,1462.77,HIIT
835,0.56,553.39,Strength
836,1.36,1796.7,HIIT
837,1.94,1510.87,Yoga
838,1.8,2575.98,HIIT
839,1.37,1654.69,HIIT
840,1.18,1132.8,Cardio
841,1.03,740.98,Yoga
842,1.31,1412.44,Strength
843,1.1,1456.84,HIIT
844,1.19,1142.4,Cardio
845,1.41,1527.88,Strength
846,1.01,970.41,Cardio
847,1.29,1699.96,HIIT
848,1.72,2461.49,HIIT
849,1.91,2727.1,HIIT
850,0.6,594.54,Strength
851,1.25,1511.12,HIIT
852,1.88,2206.37,Strength
853,1.24,892.8,Yoga
854,1.61,1886.6,Strength
855,1.2,792.0,Yoga
856,1.73,2022.54,Strength
857,1.56,2234.23,HIIT
858,1.86,1449.68,Yoga
859,0.62,409.57,Yoga
860,0.9,891.0,Strength
861,0.62,408.83,Yoga
862,1.47,1942.02,HIIT
863,1.56,1215.86,Yoga
864,1.81,1410.71,Yoga
865,0.75,909.15,HIIT
866,1.05,694.89,Yoga
867,1.19,1288.41,Strength
868,1.53,1787.35,Strength
869,1.91,1989.46,Cardio
870,1.53,1194.32,Yoga
871,1.49,1610.54,Strength
872,0.57,500.69,Cardio
873,1.29,1392.04,Strength
874,1.03,987.98,Cardio
875,1.45,1043.13,Yoga
876,0.68,822.8,HIIT
877,1.82,1417.42,Yoga
878,1.41,1862.75,HIIT
879,0.8,703.36,Cardio
880,1.1,1454.42,HIIT
881,1.26,1209.6,Cardio
882,0.83,732.39,Cardio
883,0.55,484.88,Cardio
884,0.51,616.54,HIIT
885,1.47,1059.28,Yoga
886,1.24,895.03,Yoga
887,1.77,1843.63,Cardio
888,1.07,1155.6,Strength
889,1.67,1301.6,Yoga
890,1.02,979.2,Cardio
891,1.1,1189.98,Strength
892,1.37,1809.91,HIIT
893,1.66,1725.07,Cardio
894,1.97,2303.13,Strength
895,1.51,1994.86,HIIT
896,1.34,1768.8,HIIT
897,1.06,1281.43,HIIT
898,1.91,1490.95,Yoga
899,0.79,781.39,Strength
900,1.31,1258.65,Cardio
901,0.82,542.18,Yoga
902,1.47,1587.6,Strength
903,1.84,1432.99,Yoga
904,1.37,1204.5,Cardio
905,1.14,1379.4,HIIT
