proband_id,Water_Intake (liters),Daily meals frequency,Calories
80,3.5,3.99,2327.0
81,2.69,2.99,1844.0
82,1.51,1.98,2204.0
83,1.8,2.02,1686.0
84,3.2,2.99,1625.0
85,3.48,4.01,2877.0
86,3.5,4.01,2381.0
87,2.7,4.01,1952.0
88,1.6,2.0,1264.0
89,1.62,3.0,2062.0
90,2.0,2.98,1524.0
91,2.61,2.99,1946.0
92,2.69,3.01,1806.0
93,1.8,3.0,1252.0
94,2.29,3.0,1430.0
95,2.19,3.02,1692.0
96,2.2,2.99,2768.0
97,2.48,3.0,1372.0
98,1.79,3.0,1688.0
99,2.42,3.01,1576.0
100,2.69,2.0,1231.0
101,2.71,2.01,1920.0
102,2.01,1.99,1951.0
103,2.31,3.02,1807.0
104,3.08,1.98,2633.0
105,2.5,3.02,1346.0
106,1.62,2.99,1620.0
107,2.68,2.99,1664.0
108,2.62,3.01,1689.0
109,3.49,3.0,2403.0
110,2.31,1.99,2041.0
111,2.61,4.01,2220.0
112,3.57,2.0,3011.0
113,2.19,2.99,3265.0
114,2.11,2.98,3287.0
115,1.51,3.99,1909.0
116,2.7,3.02,1440.0
117,3.5,3.0,2115.0
118,1.98,2.99,1902.0
119,3.5,3.01,2334.0
120,2.21,4.01,1328.0
121,2.29,4.0,2867.0
122,3.5,4.03,2638.0
123,3.49,2.99,2440.0
124,2.73,3.0,2206.0
125,2.61,2.01,2094.0
126,2.0,1.97,1281.0
127,2.57,3.98,2071.0
128,2.89,2.99,1671.0
129,2.91,3.01,1252.0
130,2.7,2.0,1637.0
131,2.1,3.02,2210.0
132,3.33,3.01,3333.0
133,2.69,3.99,1803.0
134,1.52,4.0,1987.0
135,2.01,2.0,1343.0
136,2.7,3.0,1574.0
137,2.29,1.97,1649.0
138,1.58,3.01,1132.0
139,2.21,3.01,1603.0
140,1.8,3.0,2112.0
141,2.8,2.99,2339.0
142,2.98,2.99,1505.0
143,3.51,2.0,1488.0
144,2.7,3.0,1937.0
145,2.68,4.0,1699.0
146,3.59,3.01,3114.0
147,1.52,3.01,2126.0
148,1.71,3.01,1700.0
149,2.18,3.0,1258.0
150,2.89,2.01,1262.0
151,2.7,1.98,1735.0
152,2.89,3.01,1438.0
153,2.19,2.99,2706.0
154,1.79,3.0,2144.0
155,2.7,4.01,1735.0
156,3.71,2.98,2287.0
157,2.69,3.02,1617.0
158,2.99,3.0,2617.0
159,3.01,1.99,1432.0
160,2.9,2.99,3453.0
161,1.62,1.99,1179.0
162,2.9,2.99,1702.0
163,2.0,3.98,2065.0
164,1.61,1.99,1268.0
165,2.39,3.01,2700.0
166,3.49,2.98,2540.0
167,1.8,1.98,2138.0
168,2.63,4.0,2151.0
169,2.61,2.99,1300.0
170,3.5,3.0,2165.0
171,2.0,3.0,2536.0
172,1.9,2.0,2147.0
173,3.71,2.99,1689.0
174,3.49,1.99,2433.0
175,3.49,3.0,2414.0
176,2.7,3.01,1683.0
177,1.86,3.0,1608.0
178,3.5,2.97,2402.0
179,2.09,2.98,1962.0
180,1.79,2.0,1545.0
181,3.39,3.99,2996.0
182,3.5,2.99,2542.0
183,1.59,2.99,1587.0
184,3.29,3.01,2677.0
185,3.5,3.01,2358.0
186,2.1,3.01,2360.0
187,1.99,3.01,1307.0
188,2.2,1.99,2868.0
189,2.09,2.98,2329.0
190,2.7,3.0,1055.0
191,1.79,3.01,1925.0
192,2.31,1.98,2321.0
193,2.72,3.0,1779.0
194,2.4,3.0,907.0
195,3.49,2.0,1282.0
196,3.39,3.01,1722.0
197,3.0,2.0,1590.0
198,3.4,4.0,2842.0
199,3.41,2.03,2931.0
200,3.48,2.01,1261.0
201,3.49,4.0,1931.0
202,1.71,1.98,2047.0
203,2.31,3.0,1376.0
204,2.2,2.99,1674.0
205,2.71,3.0,1664.0
206,2.71,3.0,1528.0
207,2.31,3.01,1367.0
208,3.4,3.0,1721.0
209,1.88,4.01,1944.0
210,2.09,3.0,1951.0
211,2.19,2.99,2033.0
212,3.3,2.99,2858.0
213,2.51,1.99,1578.0
214,3.21,3.0,1656.0
215,1.49,3.02,1233.0
216,3.49,3.0,2350.0
217,3.32,3.0,3268.0
218,3.2,3.01,1680.0
219,3.67,2.99,1640.0
220,2.71,3.0,1863.0
221,3.51,1.99,2501.0
222,2.62,1.97,1759.0
223,3.51,2.98,2645.0
224,3.6,3.03,2281.0
225,3.49,3.0,2227.0
226,3.5,3.01,2531.0
227,1.61,3.99,1663.0
228,2.79,3.0,2216.0
229,2.49,4.0,1661.0
230,2.7,2.0,1791.0
231,3.4,2.0,1823.0
232,3.5,3.99,2020.0
233,3.11,4.0,2132.0
234,1.99,4.01,1696.0
235,2.91,3.03,2897.0
236,2.29,3.0,1465.0
237,2.21,1.98,2144.0
238,2.01,3.01,2075.0
239,2.38,2.98,1722.0
240,2.9,3.02,2658.0
241,2.52,3.0,2104.0
242,2.31,3.0,1515.0
243,2.72,1.99,1791.0
244,2.81,2.0,1574.0
245,2.3,3.97,1934.0
246,3.11,4.02,3438.0
247,2.69,4.0,1635.0
248,3.4,3.01,1595.0
249,2.29,3.0,1854.0
250,1.5,2.99,2154.0
251,2.09,3.01,1773.0
252,1.51,1.99,1970.0
253,2.22,1.97,1837.0
254,2.23,2.98,1522.0
255,3.5,1.98,2359.0
256,3.4,3.01,2744.0
257,2.7,3.02,1701.0
258,2.17,4.01,1830.0
259,2.59,4.0,1322.0
260,2.7,3.01,1766.0
261,2.7,3.02,1646.0
262,2.08,2.0,2132.0
263,2.0,2.01,2562.0
264,2.68,2.98,1937.0
265,2.7,1.99,1699.0
266,2.51,3.0,2438.0
267,1.68,2.02,1489.0
268,2.31,2.0,1430.0
269,3.51,3.0,2539.0
270,3.51,3.01,3256.0
271,2.69,4.01,1730.0
272,1.99,1.98,1653.0
273,3.72,3.0,2650.0
274,2.6,2.99,3159.0
275,1.9,2.01,1647.0
276,1.59,3.0,2012.0
277,2.31,3.02,2494.0
278,1.99,2.03,1574.0
279,2.7,3.0,2767.0
280,1.68,2.0,2020.0
281,2.71,4.02,1724.0
282,2.51,4.01,1666.0
283,2.61,2.0,1365.0
284,2.01,2.98,1594.0
285,3.31,3.0,1989.0
286,3.4,3.0,3360.0
287,2.11,3.02,2107.0
288,2.09,2.98,1727.0
289,2.79,3.02,2710.0
290,1.6,2.99,1916.0
291,2.31,3.98,2140.0
292,3.41,3.0,1722.0
293,1.62,2.01,1356.0
294,2.69,3.02,1688.0
295,3.5,3.97,2547.0
296,3.42,2.98,1895.0
297,2.81,3.0,2509.0
298,3.6,1.99,3318.0
299,3.51,4.01,3472.0
300,3.1,1.98,1674.0
301,3.68,3.01,1630.0
302,3.5,3.98,2348.0
303,2.72,3.0,1743.0
304,2.7,3.01,1843.0
305,3.51,3.0,2556.0
306,1.9,3.99,1702.0
307,3.51,3.0,2263.0
308,3.7,4.0,2242.0
309,1.52,2.02,2127.0
310,2.71,2.0,1847.0
311,2.21,3.0,1543.0
312,2.68,2.99,1868.0
313,2.31,2.99,3223.0
314,2.2,3.0,1447.0
315,3.49,2.97,2565.0
316,3.09,3.0,2253.0
317,2.69,3.0,1678.0
318,1.8,2.01,2178.0
319,3.5,3.01,2405.0
320,2.11,2.02,1372.0
321,3.19,2.99,1982.0
322,2.1,3.0,1903.0
323,2.69,3.98,1690.0
324,2.58,4.01,2169.0
325,1.89,2.0,1538.0
326,3.41,3.0,1701.0
327,3.5,1.99,2933.0
328,3.33,3.0,1875.0
329,2.0,3.02,1470.0
330,2.71,4.03,1834.0
331,1.9,2.99,1330.0
332,1.49,3.0,1978.0
333,2.51,3.02,1301.0
334,2.49,4.01,1894.0
335,2.58,3.0,1593.0
336,3.49,2.0,2144.0
337,3.18,3.01,1832.0
338,2.0,3.01,1738.0
339,2.71,2.99,3013.0
340,2.8,3.0,1210.0
341,3.49,3.0,2376.0
342,1.91,3.01,1097.0
343,3.17,3.0,2057.0
344,2.71,3.0,1685.0
345,2.5,3.01,2696.0
346,2.61,1.97,1567.0
347,3.39,3.01,1749.0
348,1.9,1.99,1237.0
349,2.1,2.0,1531.0
350,1.49,2.01,1858.0
351,1.9,3.99,1744.0
352,2.91,3.02,1536.0
353,2.18,2.98,2038.0
354,2.2,2.01,1701.0
355,2.1,2.99,1910.0
356,3.51,2.01,2116.0
357,3.41,2.01,2930.0
358,3.67,3.99,2120.0
359,2.4,3.01,3041.0
360,3.43,3.0,3176.0
361,2.58,2.98,1786.0
362,2.7,3.0,1946.0
363,2.6,3.0,1475.0
364,2.28,3.0,1908.0
365,2.29,3.02,1741.0
366,2.88,2.99,2207.0
367,1.51,3.0,2281.0
368,3.43,3.0,3027.0
369,2.9,2.99,2314.0
370,3.1,2.99,1920.0
371,2.31,3.99,1327.0
372,1.98,4.0,1613.0
373,1.79,4.0,1589.0
374,3.3,2.97,3093.0
375,2.7,3.0,2037.0
376,2.69,3.99,1724.0
377,2.31,3.01,1965.0
378,2.59,1.99,2056.0
379,3.41,3.0,2563.0
380,3.5,3.02,2650.0
381,2.6,2.98,1788.0
382,3.59,2.0,2929.0
383,3.5,3.0,2278.0
384,2.17,2.98,1463.0
385,3.49,3.0,2246.0
386,2.0,2.99,1208.0
387,3.11,3.0,3022.0
388,2.61,1.98,1556.0
389,3.19,3.02,1912.0
390,3.48,3.02,1783.0
391,2.49,1.99,1370.0
392,3.11,2.99,2692.0
393,3.43,2.0,1972.0
394,1.5,4.0,2211.0
395,2.58,2.99,1876.0
396,2.21,2.02,1518.0
397,2.31,2.99,1666.0
398,2.11,3.01,1949.0
399,2.5,2.02,1842.0
400,2.57,1.99,1209.0
401,1.72,1.99,1855.0
402,2.6,1.99,1536.0
403,2.4,2.99,2029.0
404,2.02,2.99,1170.0
405,3.19,1.99,1317.0
406,2.71,2.0,1573.0
407,3.49,2.01,2231.0
408,2.03,3.02,1263.0
409,3.5,2.02,2524.0
410,2.31,2.99,1711.0
411,3.51,3.01,2365.0
412,2.51,3.0,1844.0
413,2.41,2.99,1455.0
414,3.2,3.02,2994.0
415,1.51,2.98,2182.0
416,2.6,3.0,3171.0
417,2.51,3.98,2116.0
418,2.49,4.03,1337.0
419,2.57,1.99,2115.0
420,2.71,2.0,1326.0
421,3.5,3.0,2477.0
422,3.09,2.97,1780.0
423,3.01,3.01,1674.0
424,2.69,3.01,1826.0
425,1.6,2.99,1422.0
426,1.99,2.0,1846.0
427,3.51,2.98,2243.0
428,1.61,2.0,1851.0
429,2.3,2.0,2329.0
430,2.31,1.96,3442.0
431,1.98,2.01,1538.0
432,2.51,1.96,1674.0
433,2.5,3.0,1272.0
434,3.48,2.0,2445.0
435,2.68,1.99,2016.0
436,3.5,2.98,2396.0
437,2.8,2.98,2042.0
438,2.19,3.01,1502.0
439,3.5,2.01,2356.0
440,2.68,2.02,1589.0
441,2.31,3.01,1597.0
442,3.5,2.01,2379.0
443,3.51,2.99,2506.0
444,2.39,1.99,1290.0
445,1.6,2.01,1309.0
446,1.98,2.0,1551.0
447,2.61,1.99,2104.0
448,2.39,2.99,2169.0
449,3.09,2.98,2597.0
450,2.71,3.0,1259.0
451,2.38,3.98,1216.0
452,2.8,3.01,1417.0
453,1.89,2.98,2052.0
454,3.52,3.01,2427.0
455,2.71,2.01,2011.0
456,2.69,2.01,1751.0
457,2.2,3.97,2035.0
458,3.5,1.99,2502.0
459,2.4,3.01,2448.0
460,2.68,3.98,1697.0
461,3.51,3.01,2558.0
462,2.41,2.98,1408.0
463,2.39,2.0,1879.0
464,3.41,3.04,2576.0
465,3.49,4.0,3044.0
466,3.39,3.0,1688.0
467,3.5,2.0,2456.0
468,2.89,3.02,1506.0
469,2.48,2.0,2030.0
470,2.3,2.01,2915.0
471,2.8,2.99,2068.0
472,2.7,4.0,1510.0
473,1.92,3.01,1234.0
474,3.31,2.98,3208.0
475,3.41,2.99,2472.0
476,2.39,1.98,1906.0
477,3.7,3.0,1477.0
478,2.58,3.02,2048.0
479,2.49,3.02,2018.0
480,3.5,3.01,2482.0
481,3.73,2.97,3084.0
482,1.5,1.99,2093.0
483,2.91,3.01,2749.0
484,2.69,2.98,1793.0
485,2.51,2.99,1266.0
486,2.71,3.01,1969.0
487,2.79,4.01,2786.0
488,2.21,3.0,2214.0
489,2.59,3.01,1777.0
490,2.7,3.01,1689.0
491,2.38,2.0,1749.0
492,1.71,3.0,1584.0
493,3.5,2.99,2205.0
494,1.71,3.0,1259.0
495,3.5,2.99,2408.0
496,2.71,3.99,1849.0
497,2.09,2.98,2204.0
498,3.19,2.0,1202.0
499,3.09,4.01,3293.0
500,2.79,2.0,1314.0
501,2.39,3.01,1851.0
502,3.51,3.0,2338.0
503,3.37,3.01,1655.0
504,2.6,3.01,1362.0
505,2.1,3.99,1413.0
506,3.5,1.99,2411.0
507,2.29,3.0,1500.0
508,3.2,3.02,2276.0
509,3.39,3.0,1331.0
510,2.11,3.0,2051.0
511,2.9,3.02,1435.0
512,3.18,3.01,2622.0
513,2.42,2.99,2305.0
514,2.43,3.02,2672.0
515,2.01,3.02,1481.0
516,1.72,3.01,1680.0
517,2.61,2.99,1896.0
518,2.31,1.99,1477.0
519,3.21,3.01,2053.0
520,3.49,3.01,2633.0
521,2.81,2.99,2141.0
522,3.51,2.99,1748.0
523,1.53,4.01,1828.0
524,3.12,3.0,3055.0
525,3.48,3.0,2367.0
526,2.41,2.99,2624.0
527,2.69,3.01,1727.0
528,2.42,2.99,2662.0
529,3.0,4.0,1695.0
530,3.49,1.99,2370.0
531,3.19,3.01,3343.0
532,3.5,3.01,2377.0
533,2.6,3.01,1326.0
534,2.9,2.0,2998.0
535,2.48,2.0,1883.0
536,2.1,3.02,2286.0
537,2.38,2.0,1673.0
538,3.48,2.99,2105.0
539,3.5,2.0,2330.0
540,2.81,2.99,2687.0
541,2.1,3.01,1770.0
542,2.09,2.99,2230.0
543,2.49,1.99,2267.0
544,2.7,3.01,1452.0
545,2.5,2.98,1484.0
546,3.09,2.01,2189.0
547,3.47,1.98,2566.0
548,3.51,2.0,2374.0
549,2.23,1.99,2877.0
550,1.68,2.99,1567.0
551,1.79,4.01,1433.0
552,1.9,2.01,2049.0
553,3.5,2.98,2273.0
554,1.98,3.01,1509.0
555,2.72,3.0,1972.0
556,1.89,3.01,1125.0
557,2.18,3.01,1961.0
558,2.2,2.01,1538.0
559,2.7,3.01,1669.0
560,1.6,3.99,1436.0
561,3.5,3.02,2517.0
562,1.7,3.01,1269.0
563,3.41,3.02,1824.0
564,1.72,1.99,2130.0
565,2.38,3.01,1863.0
566,2.89,2.0,2690.0
567,3.42,2.99,1968.0
568,1.98,3.0,1544.0
569,2.89,2.99,1982.0
570,2.31,3.0,2034.0
571,2.7,3.0,1773.0
572,3.49,2.0,2506.0
573,3.5,3.03,2384.0
574,2.1,2.0,1512.0
575,1.7,2.03,2001.0
576,3.49,2.97,2374.0
577,3.3,4.0,1748.0
578,2.9,2.99,3430.0
579,1.78,2.99,1978.0
580,2.69,3.0,1925.0
581,3.5,1.99,2417.0
582,2.69,3.01,1679.0
583,1.91,3.0,1758.0
584,2.6,3.03,3059.0
585,2.08,2.98,2307.0
586,2.41,3.99,2630.0
587,2.7,3.0,2965.0
588,2.21,3.01,1999.0
589,3.09,2.02,3036.0
590,2.92,3.0,2979.0
591,1.69,3.99,1879.0
592,3.4,2.97,2251.0
593,2.62,2.0,1410.0
594,2.8,3.01,1953.0
595,2.3,3.0,2079.0
596,2.1,2.99,1763.0
597,2.7,2.0,1715.0
598,2.4,2.0,1349.0
599,3.27,1.99,1514.0
600,3.28,3.01,3107.0
601,3.5,2.98,2365.0
602,2.19,2.99,2125.0
603,3.71,2.02,2362.0
604,2.71,3.01,1672.0
605,3.49,3.96,2435.0
606,2.19,1.98,1870.0
607,2.71,3.01,2355.0
608,2.68,2.0,1767.0
609,2.1,3.99,1186.0
610,3.11,1.98,2637.0
611,3.52,3.0,2462.0
612,3.49,3.03,2331.0
613,1.81,3.0,1871.0
614,2.3,2.0,2004.0
615,1.8,2.0,2152.0
616,3.32,3.0,2278.0
617,3.0,1.99,3259.0
618,2.1,3.02,1799.0
619,1.98,2.0,1687.0
620,3.61,2.0,1739.0
621,1.91,4.0,1886.0
622,2.4,2.98,1946.0
623,2.61,2.99,1842.0
624,1.79,4.02,1584.0
625,3.5,2.98,2681.0
626,1.99,1.96,1224.0
627,2.0,2.0,2183.0
628,2.68,1.99,1708.0
629,2.09,1.99,1050.0
630,3.68,3.0,2066.0
631,2.71,3.04,1811.0
632,2.88,3.02,1655.0
633,2.2,2.99,1941.0
634,2.31,2.01,2375.0
635,3.49,4.01,2356.0
636,2.62,2.0,2144.0
637,3.18,1.99,1331.0
638,3.48,2.0,2316.0
639,2.69,4.0,1759.0
640,2.7,3.0,1594.0
641,2.77,2.99,1733.0
642,1.81,2.98,2115.0
643,3.39,3.0,2409.0
644,3.41,3.0,1427.0
645,3.53,2.98,2130.0
646,1.71,3.01,1822.0
647,2.31,2.01,2033.0
648,2.0,4.01,1447.0
649,2.68,3.01,1810.0
650,1.78,1.98,1817.0
651,2.1,3.01,1081.0
652,2.7,2.01,1373.0
653,2.11,3.99,1370.0
654,2.8,2.0,1491.0
655,2.69,2.0,1995.0
656,2.08,3.01,2119.0
657,2.0,3.01,1929.0
658,3.51,3.0,2303.0
659,2.01,3.01,1925.0
660,1.81,3.01,1794.0
661,2.8,4.01,1643.0
662,1.89,3.0,1431.0
663,2.39,2.99,1937.0
664,2.88,2.02,2487.0
665,1.72,3.01,1211.0
666,2.71,2.01,1840.0
667,2.79,4.01,2051.0
668,2.89,2.99,1988.0
669,3.39,4.0,2744.0
670,2.49,2.99,1573.0
671,1.9,3.0,1805.0
672,1.7,3.0,1362.0
673,2.47,2.01,1686.0
674,2.31,3.0,1468.0
675,2.5,2.99,2069.0
676,3.5,2.0,2918.0
677,2.29,3.01,2088.0
678,3.42,2.98,3206.0
679,1.9,2.01,1809.0
680,2.12,3.01,2139.0
681,2.3,4.01,1905.0
682,2.12,3.02,3286.0
683,3.5,2.02,2427.0
684,2.59,2.99,1909.0
685,3.1,3.03,1604.0
686,1.48,3.0,1345.0
687,1.51,3.02,1543.0
688,1.69,2.01,1790.0
689,2.18,2.99,1784.0
690,2.5,3.02,1761.0
691,2.69,2.0,1883.0
692,2.09,1.99,1560.0
693,3.52,2.0,2231.0
694,2.61,3.99,3220.0
695,2.71,3.01,2749.0
696,3.19,2.98,2339.0
697,3.5,3.0,2391.0
698,2.61,4.0,1851.0
699,2.4,3.01,1375.0
700,2.2,2.01,2238.0
701,2.71,3.01,1752.0
702,1.62,3.0,1627.0
703,3.09,3.0,2805.0
704,2.88,2.99,2038.0
705,2.29,1.99,2782.0
706,2.9,2.01,1258.0
707,2.49,3.0,1834.0
708,2.5,1.99,2981.0
709,3.41,3.0,2604.0
710,2.31,3.01,2003.0
711,2.6,2.99,1707.0
712,3.68,3.0,1563.0
713,2.6,2.98,2047.0
714,2.13,2.97,3464.0
715,3.21,2.98,3038.0
716,2.7,3.0,3054.0
717,2.7,4.01,1737.0
718,3.02,2.99,2525.0
719,2.59,3.99,2100.0
720,2.43,3.97,1553.0
721,2.32,3.01,1499.0
722,2.61,2.99,1528.0
723,2.5,3.0,1846.0
724,2.1,3.0,3472.0
725,2.91,2.01,2690.0
726,2.99,1.99,1623.0
727,2.08,3.02,2237.0
728,2.11,3.03,3175.0
729,2.1,1.99,2842.0
730,2.31,2.02,2137.0
731,1.79,3.01,1902.0
732,2.7,3.0,1664.0
733,2.71,2.01,1506.0
734,2.51,1.99,1601.0
735,3.52,4.02,2382.0
736,1.69,3.0,1609.0
737,2.68,1.99,1533.0
738,3.0,3.0,2690.0
739,1.69,3.0,1471.0
740,2.91,3.01,3409.0
741,1.51,3.0,2029.0
742,3.52,1.99,2325.0
743,3.51,2.02,2612.0
744,2.22,2.99,1338.0
745,2.71,2.98,1894.0
746,3.61,3.01,2435.0
747,2.7,2.0,1865.0
748,3.49,4.0,2442.0
749,2.1,3.0,1925.0
750,2.62,3.0,1733.0
751,2.1,2.0,2152.0
752,2.4,2.96,1821.0
753,1.69,2.99,1666.0
754,1.81,3.01,1205.0
755,3.49,3.01,2344.0
756,1.5,2.99,1749.0
757,2.29,1.98,1507.0
758,2.3,2.99,1346.0
759,2.01,2.99,1506.0
760,1.48,4.01,1916.0
761,2.93,2.98,1214.0
762,2.11,2.99,3340.0
763,2.12,2.99,1758.0
764,2.1,2.99,1645.0
765,2.81,3.02,2923.0
766,2.59,3.0,3054.0
767,2.88,4.0,3419.0
768,2.21,3.99,2443.0
769,2.69,3.01,1306.0
770,2.61,2.99,1796.0
771,2.42,2.99,2539.0
772,1.49,2.01,1565.0
773,2.52,3.01,1152.0
774,2.69,1.99,1729.0
775,2.3,4.0,1979.0
776,2.69,3.99,1741.0
777,3.49,2.99,2591.0
778,3.5,2.01,2857.0
779,1.82,2.0,1314.0
780,3.11,3.02,1516.0
781,2.3,3.01,1792.0
782,3.48,4.0,2424.0
783,1.79,2.98,1440.0
784,1.71,1.99,1498.0
785,2.19,3.0,1821.0
786,3.6,1.99,3163.0
787,2.71,3.02,1883.0
788,2.01,2.98,2031.0
789,2.78,3.0,1944.0
790,2.32,2.01,2147.0
791,2.29,1.97,1836.0
792,3.3,3.99,2114.0
793,3.49,2.99,1879.0
794,3.49,3.02,2294.0
795,2.2,4.0,1380.0
796,3.5,1.99,2469.0
797,1.62,3.0,1967.0
798,3.1,3.02,2948.0
799,2.17,3.0,3270.0
800,2.3,3.01,1491.0
801,2.11,4.01,1902.0
802,3.61,2.98,2377.0
803,2.4,3.0,3105.0
804,2.7,2.99,1782.0
805,3.5,3.02,2241.0
806,3.5,4.0,2424.0
807,3.41,3.01,2324.0
808,2.89,2.99,1602.0
809,2.6,4.01,1695.0
810,3.21,3.0,2515.0
811,3.49,3.0,2339.0
812,3.28,3.0,2675.0
813,2.01,1.99,1347.0
814,2.68,3.01,1799.0
815,2.49,2.02,2962.0
816,2.1,2.02,2046.0
817,2.88,2.99,3159.0
818,2.2,2.98,2608.0
819,3.41,3.01,1786.0
820,2.63,3.0,1610.0
821,2.7,3.04,1756.0
822,3.48,1.99,2195.0
823,2.3,2.98,2238.0
824,2.69,3.03,2531.0
825,3.31,3.01,2875.0
826,3.38,1.99,2274.0
827,1.98,3.0,1565.0
828,2.32,2.0,2070.0
829,2.69,4.01,1752.0
830,2.68,4.01,1620.0
831,3.51,4.01,2715.0
832,3.51,2.0,2461.0
833,2.59,3.01,3337.0
834,3.4,4.02,2748.0
835,2.93,2.01,2563.0
836,3.4,2.99,2417.0
837,2.7,3.0,1573.0
838,3.49,3.02,2458.0
839,3.61,3.01,3167.0
840,1.9,1.98,1893.0
841,2.01,3.0,2107.0
842,2.31,3.01,1188.0
843,1.7,1.99,1613.0
844,2.91,3.02,1622.0
845,2.51,2.99,1531.0
846,2.4,3.0,1273.0
847,2.0,3.0,1207.0
848,2.69,2.01,1841.0
849,3.5,3.99,2386.0
850,2.21,3.0,1578.0
851,1.5,3.02,1692.0
852,3.52,2.99,2518.0
853,2.0,3.98,1674.0
854,2.7,3.99,1754.0
855,2.0,2.02,2006.0
856,3.5,3.01,2381.0
857,3.51,3.02,2074.0
858,3.47,3.97,2390.0
859,2.29,3.0,1827.0
860,2.69,2.0,2068.0
861,1.81,2.98,1564.0
862,2.79,4.0,2351.0
863,2.72,3.99,1673.0
864,3.49,2.99,2265.0
865,2.32,2.97,1349.0
866,2.49,2.99,1533.0
867,2.41,2.99,2399.0
868,2.69,2.01,1937.0
869,3.51,3.0,2191.0
870,2.68,4.01,2014.0
871,3.7,3.02,2433.0
872,3.42,2.01,1745.0
873,2.59,3.0,2021.0
874,2.32,3.01,1482.0
875,2.01,1.99,1578.0
876,2.93,3.0,2797.0
877,3.48,2.99,2529.0
878,2.59,1.98,1455.0
879,2.7,4.01,2177.0
880,1.72,1.98,1758.0
881,2.51,2.01,2173.0
882,2.09,2.0,1393.0
883,2.18,3.01,1967.0
884,1.81,3.99,1358.0
885,1.5,2.01,2090.0
886,1.93,2.99,1752.0
887,3.5,3.0,2467.0
888,1.48,2.99,1165.0
889,3.51,2.02,2567.0
890,1.99,3.01,1917.0
891,1.72,2.0,1731.0
892,2.61,3.0,2281.0
893,2.7,3.0,1736.0
894,3.48,3.0,2345.0
895,2.12,2.0,1115.0
896,2.3,4.0,2841.0
897,3.39,3.01,1414.0
898,3.5,3.0,2590.0
899,2.09,3.0,1971.0
900,3.11,1.99,1767.0
901,2.22,3.0,1742.0
902,1.68,2.0,1275.0
903,3.49,4.01,2174.0
904,3.7,3.01,2128.0
905,2.39,3.0,1431.0
906,2.69,3.01,1881.0
907,1.59,1.98,1136.0
908,1.91,2.0,2084.0
909,1.49,4.01,2046.0
910,2.2,3.99,1957.0
911,2.71,1.98,1524.0
912,2.69,2.01,1672.0
913,2.0,2.02,1638.0
914,1.89,2.0,1345.0
915,3.38,4.0,3612.0
916,2.59,3.01,1744.0
917,1.8,2.02,1921.0
918,3.49,4.02,2601.0
919,3.51,2.0,2355.0
920,2.02,2.0,1573.0
921,2.51,3.01,1258.0
922,2.1,3.01,2127.0
923,3.19,3.0,2490.0
924,3.51,3.99,2075.0
925,3.49,4.01,2330.0
926,1.8,4.0,1505.0
927,3.4,3.99,2953.0
928,2.3,4.02,2835.0
929,2.7,3.01,1682.0
