proband_id,Calories,Daily meals frequency,Water_Intake (liters)
116,1440.0,3.02,2.7
117,2115.0,3.0,3.5
118,1902.0,2.99,1.98
119,2334.0,3.01,3.5
120,1328.0,4.01,2.21
121,2867.0,4.0,2.29
122,2638.0,4.03,3.5
123,2440.0,2.99,3.49
124,2206.0,3.0,2.73
125,2094.0,2.01,2.61
126,1281.0,1.97,2.0
127,2071.0,3.98,2.57
128,1671.0,2.99,2.89
129,1252.0,3.01,2.91
130,1637.0,2.0,2.7
131,2210.0,3.02,2.1
132,3333.0,3.01,3.33
133,1803.0,3.99,2.69
134,1987.0,4.0,1.52
135,1343.0,2.0,2.01
136,1574.0,3.0,2.7
137,1649.0,1.97,2.29
138,1132.0,3.01,1.58
139,1603.0,3.01,2.21
140,2112.0,3.0,1.8
141,2339.0,2.99,2.8
142,1505.0,2.99,2.98
143,1488.0,2.0,3.51
144,1937.0,3.0,2.7
145,1699.0,4.0,2.68
146,3114.0,3.01,3.59
147,2126.0,3.01,1.52
148,1700.0,3.01,1.71
149,1258.0,3.0,2.18
150,1262.0,2.01,2.89
151,1735.0,1.98,2.7
152,1438.0,3.01,2.89
153,2706.0,2.99,2.19
154,2144.0,3.0,1.79
155,1735.0,4.01,2.7
156,2287.0,2.98,3.71
157,1617.0,3.02,2.69
158,2617.0,3.0,2.99
159,1432.0,1.99,3.01
160,3453.0,2.99,2.9
161,1179.0,1.99,1.62
162,1702.0,2.99,2.9
163,2065.0,3.98,2.0
164,1268.0,1.99,1.61
165,2700.0,3.01,2.39
166,2540.0,2.98,3.49
167,2138.0,1.98,1.8
168,2151.0,4.0,2.63
169,1300.0,2.99,2.61
170,2165.0,3.0,3.5
171,2536.0,3.0,2.0
172,2147.0,2.0,1.9
173,1689.0,2.99,3.71
174,2433.0,1.99,3.49
175,2414.0,3.0,3.49
176,1683.0,3.01,2.7
177,1608.0,3.0,1.86
178,2402.0,2.97,3.5
179,1962.0,2.98,2.09
180,1545.0,2.0,1.79
181,2996.0,3.99,3.39
182,2542.0,2.99,3.5
183,1587.0,2.99,1.59
184,2677.0,3.01,3.29
185,2358.0,3.01,3.5
186,2360.0,3.01,2.1
187,1307.0,3.01,1.99
188,2868.0,1.99,2.2
189,2329.0,2.98,2.09
190,1055.0,3.0,2.7
191,1925.0,3.01,1.79
192,2321.0,1.98,2.31
193,1779.0,3.0,2.72
194,907.0,3.0,2.4
195,1282.0,2.0,3.49
196,1722.0,3.01,3.39
197,1590.0,2.0,3.0
198,2842.0,4.0,3.4
199,2931.0,2.03,3.41
200,1261.0,2.01,3.48
201,1931.0,4.0,3.49
202,2047.0,1.98,1.71
203,1376.0,3.0,2.31
204,1674.0,2.99,2.2
205,1664.0,3.0,2.71
206,1528.0,3.0,2.71
207,1367.0,3.01,2.31
208,1721.0,3.0,3.4
209,1944.0,4.01,1.88
210,1951.0,3.0,2.09
211,2033.0,2.99,2.19
212,2858.0,2.99,3.3
213,1578.0,1.99,2.51
214,1656.0,3.0,3.21
215,1233.0,3.02,1.49
216,2350.0,3.0,3.49
217,3268.0,3.0,3.32
218,1680.0,3.01,3.2
219,1640.0,2.99,3.67
220,1863.0,3.0,2.71
221,2501.0,1.99,3.51
222,1759.0,1.97,2.62
223,2645.0,2.98,3.51
224,2281.0,3.03,3.6
225,2227.0,3.0,3.49
226,2531.0,3.01,3.5
227,1663.0,3.99,1.61
228,2216.0,3.0,2.79
229,1661.0,4.0,2.49
230,1791.0,2.0,2.7
231,1823.0,2.0,3.4
232,2020.0,3.99,3.5
233,2132.0,4.0,3.11
234,1696.0,4.01,1.99
235,2897.0,3.03,2.91
236,1465.0,3.0,2.29
237,2144.0,1.98,2.21
238,2075.0,3.01,2.01
239,1722.0,2.98,2.38
240,2658.0,3.02,2.9
241,2104.0,3.0,2.52
242,1515.0,3.0,2.31
243,1791.0,1.99,2.72
244,1574.0,2.0,2.81
245,1934.0,3.97,2.3
246,3438.0,4.02,3.11
247,1635.0,4.0,2.69
248,1595.0,3.01,3.4
249,1854.0,3.0,2.29
250,2154.0,2.99,1.5
251,1773.0,3.01,2.09
252,1970.0,1.99,1.51
253,1837.0,1.97,2.22
254,1522.0,2.98,2.23
255,2359.0,1.98,3.5
256,2744.0,3.01,3.4
257,1701.0,3.02,2.7
258,1830.0,4.01,2.17
259,1322.0,4.0,2.59
260,1766.0,3.01,2.7
261,1646.0,3.02,2.7
262,2132.0,2.0,2.08
263,2562.0,2.01,2.0
264,1937.0,2.98,2.68
265,1699.0,1.99,2.7
266,2438.0,3.0,2.51
267,1489.0,2.02,1.68
268,1430.0,2.0,2.31
269,2539.0,3.0,3.51
270,3256.0,3.01,3.51
271,1730.0,4.01,2.69
272,1653.0,1.98,1.99
273,2650.0,3.0,3.72
274,3159.0,2.99,2.6
275,1647.0,2.01,1.9
276,2012.0,3.0,1.59
277,2494.0,3.02,2.31
278,1574.0,2.03,1.99
279,2767.0,3.0,2.7
280,2020.0,2.0,1.68
281,1724.0,4.02,2.71
282,1666.0,4.01,2.51
283,1365.0,2.0,2.61
284,1594.0,2.98,2.01
285,1989.0,3.0,3.31
286,3360.0,3.0,3.4
287,2107.0,3.02,2.11
288,1727.0,2.98,2.09
289,2710.0,3.02,2.79
290,1916.0,2.99,1.6
291,2140.0,3.98,2.31
292,1722.0,3.0,3.41
293,1356.0,2.01,1.62
294,1688.0,3.02,2.69
295,2547.0,3.97,3.5
296,1895.0,2.98,3.42
297,2509.0,3.0,2.81
298,3318.0,1.99,3.6
299,3472.0,4.01,3.51
300,1674.0,1.98,3.1
301,1630.0,3.01,3.68
302,2348.0,3.98,3.5
303,1743.0,3.0,2.72
304,1843.0,3.01,2.7
305,2556.0,3.0,3.51
306,1702.0,3.99,1.9
307,2263.0,3.0,3.51
308,2242.0,4.0,3.7
309,2127.0,2.02,1.52
310,1847.0,2.0,2.71
311,1543.0,3.0,2.21
312,1868.0,2.99,2.68
313,3223.0,2.99,2.31
314,1447.0,3.0,2.2
315,2565.0,2.97,3.49
316,2253.0,3.0,3.09
317,1678.0,3.0,2.69
318,2178.0,2.01,1.8
319,2405.0,3.01,3.5
320,1372.0,2.02,2.11
321,1982.0,2.99,3.19
322,1903.0,3.0,2.1
323,1690.0,3.98,2.69
324,2169.0,4.01,2.58
325,1538.0,2.0,1.89
326,1701.0,3.0,3.41
327,2933.0,1.99,3.5
328,1875.0,3.0,3.33
329,1470.0,3.02,2.0
330,1834.0,4.03,2.71
331,1330.0,2.99,1.9
332,1978.0,3.0,1.49
333,1301.0,3.02,2.51
334,1894.0,4.01,2.49
335,1593.0,3.0,2.58
336,2144.0,2.0,3.49
337,1832.0,3.01,3.18
338,1738.0,3.01,2.0
339,3013.0,2.99,2.71
340,1210.0,3.0,2.8
341,2376.0,3.0,3.49
342,1097.0,3.01,1.91
343,2057.0,3.0,3.17
344,1685.0,3.0,2.71
345,2696.0,3.01,2.5
346,1567.0,1.97,2.61
347,1749.0,3.01,3.39
348,1237.0,1.99,1.9
349,1531.0,2.0,2.1
350,1858.0,2.01,1.49
351,1744.0,3.99,1.9
352,1536.0,3.02,2.91
353,2038.0,2.98,2.18
354,1701.0,2.01,2.2
355,1910.0,2.99,2.1
356,2116.0,2.01,3.51
357,2930.0,2.01,3.41
358,2120.0,3.99,3.67
359,3041.0,3.01,2.4
360,3176.0,3.0,3.43
361,1786.0,2.98,2.58
362,1946.0,3.0,2.7
363,1475.0,3.0,2.6
364,1908.0,3.0,2.28
365,1741.0,3.02,2.29
366,2207.0,2.99,2.88
367,2281.0,3.0,1.51
368,3027.0,3.0,3.43
369,2314.0,2.99,2.9
370,1920.0,2.99,3.1
371,1327.0,3.99,2.31
372,1613.0,4.0,1.98
373,1589.0,4.0,1.79
374,3093.0,2.97,3.3
375,2037.0,3.0,2.7
376,1724.0,3.99,2.69
377,1965.0,3.01,2.31
378,2056.0,1.99,2.59
379,2563.0,3.0,3.41
380,2650.0,3.02,3.5
381,1788.0,2.98,2.6
382,2929.0,2.0,3.59
383,2278.0,3.0,3.5
384,1463.0,2.98,2.17
385,2246.0,3.0,3.49
386,1208.0,2.99,2.0
387,3022.0,3.0,3.11
388,1556.0,1.98,2.61
389,1912.0,3.02,3.19
390,1783.0,3.02,3.48
391,1370.0,1.99,2.49
392,2692.0,2.99,3.11
393,1972.0,2.0,3.43
394,2211.0,4.0,1.5
395,1876.0,2.99,2.58
396,1518.0,2.02,2.21
397,1666.0,2.99,2.31
398,1949.0,3.01,2.11
399,1842.0,2.02,2.5
400,1209.0,1.99,2.57
401,1855.0,1.99,1.72
402,1536.0,1.99,2.6
403,2029.0,2.99,2.4
404,1170.0,2.99,2.02
405,1317.0,1.99,3.19
406,1573.0,2.0,2.71
407,2231.0,2.01,3.49
408,1263.0,3.02,2.03
409,2524.0,2.02,3.5
410,1711.0,2.99,2.31
411,2365.0,3.01,3.51
412,1844.0,3.0,2.51
413,1455.0,2.99,2.41
414,2994.0,3.02,3.2
415,2182.0,2.98,1.51
416,3171.0,3.0,2.6
417,2116.0,3.98,2.51
418,1337.0,4.03,2.49
419,2115.0,1.99,2.57
420,1326.0,2.0,2.71
421,2477.0,3.0,3.5
422,1780.0,2.97,3.09
423,1674.0,3.01,3.01
424,1826.0,3.01,2.69
425,1422.0,2.99,1.6
426,1846.0,2.0,1.99
427,2243.0,2.98,3.51
428,1851.0,2.0,1.61
429,2329.0,2.0,2.3
430,3442.0,1.96,2.31
431,1538.0,2.01,1.98
432,1674.0,1.96,2.51
433,1272.0,3.0,2.5
434,2445.0,2.0,3.48
435,2016.0,1.99,2.68
436,2396.0,2.98,3.5
437,2042.0,2.98,2.8
438,1502.0,3.01,2.19
439,2356.0,2.01,3.5
440,1589.0,2.02,2.68
441,1597.0,3.01,2.31
442,2379.0,2.01,3.5
443,2506.0,2.99,3.51
444,1290.0,1.99,2.39
445,1309.0,2.01,1.6
446,1551.0,2.0,1.98
447,2104.0,1.99,2.61
448,2169.0,2.99,2.39
449,2597.0,2.98,3.09
450,1259.0,3.0,2.71
451,1216.0,3.98,2.38
452,1417.0,3.01,2.8
453,2052.0,2.98,1.89
454,2427.0,3.01,3.52
455,2011.0,2.01,2.71
456,1751.0,2.01,2.69
457,2035.0,3.97,2.2
458,2502.0,1.99,3.5
459,2448.0,3.01,2.4
460,1697.0,3.98,2.68
461,2558.0,3.01,3.51
462,1408.0,2.98,2.41
463,1879.0,2.0,2.39
464,2576.0,3.04,3.41
465,3044.0,4.0,3.49
466,1688.0,3.0,3.39
467,2456.0,2.0,3.5
468,1506.0,3.02,2.89
469,2030.0,2.0,2.48
470,2915.0,2.01,2.3
471,2068.0,2.99,2.8
472,1510.0,4.0,2.7
473,1234.0,3.01,1.92
474,3208.0,2.98,3.31
475,2472.0,2.99,3.41
476,1906.0,1.98,2.39
477,1477.0,3.0,3.7
478,2048.0,3.02,2.58
479,2018.0,3.02,2.49
480,2482.0,3.01,3.5
481,3084.0,2.97,3.73
482,2093.0,1.99,1.5
483,2749.0,3.01,2.91
484,1793.0,2.98,2.69
485,1266.0,2.99,2.51
486,1969.0,3.01,2.71
487,2786.0,4.01,2.79
488,2214.0,3.0,2.21
489,1777.0,3.01,2.59
490,1689.0,3.01,2.7
491,1749.0,2.0,2.38
492,1584.0,3.0,1.71
493,2205.0,2.99,3.5
494,1259.0,3.0,1.71
495,2408.0,2.99,3.5
496,1849.0,3.99,2.71
497,2204.0,2.98,2.09
498,1202.0,2.0,3.19
499,3293.0,4.01,3.09
500,1314.0,2.0,2.79
501,1851.0,3.01,2.39
502,2338.0,3.0,3.51
503,1655.0,3.01,3.37
504,1362.0,3.01,2.6
505,1413.0,3.99,2.1
506,2411.0,1.99,3.5
507,1500.0,3.0,2.29
508,2276.0,3.02,3.2
509,1331.0,3.0,3.39
510,2051.0,3.0,2.11
511,1435.0,3.02,2.9
512,2622.0,3.01,3.18
513,2305.0,2.99,2.42
514,2672.0,3.02,2.43
515,1481.0,3.02,2.01
516,1680.0,3.01,1.72
517,1896.0,2.99,2.61
518,1477.0,1.99,2.31
519,2053.0,3.01,3.21
520,2633.0,3.01,3.49
521,2141.0,2.99,2.81
522,1748.0,2.99,3.51
523,1828.0,4.01,1.53
524,3055.0,3.0,3.12
525,2367.0,3.0,3.48
526,2624.0,2.99,2.41
527,1727.0,3.01,2.69
528,2662.0,2.99,2.42
529,1695.0,4.0,3.0
530,2370.0,1.99,3.49
531,3343.0,3.01,3.19
532,2377.0,3.01,3.5
533,1326.0,3.01,2.6
534,2998.0,2.0,2.9
535,1883.0,2.0,2.48
536,2286.0,3.02,2.1
537,1673.0,2.0,2.38
538,2105.0,2.99,3.48
539,2330.0,2.0,3.5
540,2687.0,2.99,2.81
541,1770.0,3.01,2.1
542,2230.0,2.99,2.09
543,2267.0,1.99,2.49
544,1452.0,3.01,2.7
545,1484.0,2.98,2.5
546,2189.0,2.01,3.09
547,2566.0,1.98,3.47
548,2374.0,2.0,3.51
549,2877.0,1.99,2.23
550,1567.0,2.99,1.68
551,1433.0,4.01,1.79
552,2049.0,2.01,1.9
553,2273.0,2.98,3.5
554,1509.0,3.01,1.98
555,1972.0,3.0,2.72
556,1125.0,3.01,1.89
557,1961.0,3.01,2.18
558,1538.0,2.01,2.2
559,1669.0,3.01,2.7
560,1436.0,3.99,1.6
561,2517.0,3.02,3.5
562,1269.0,3.01,1.7
563,1824.0,3.02,3.41
564,2130.0,1.99,1.72
565,1863.0,3.01,2.38
566,2690.0,2.0,2.89
567,1968.0,2.99,3.42
568,1544.0,3.0,1.98
569,1982.0,2.99,2.89
570,2034.0,3.0,2.31
571,1773.0,3.0,2.7
572,2506.0,2.0,3.49
573,2384.0,3.03,3.5
574,1512.0,2.0,2.1
575,2001.0,2.03,1.7
576,2374.0,2.97,3.49
577,1748.0,4.0,3.3
578,3430.0,2.99,2.9
579,1978.0,2.99,1.78
580,1925.0,3.0,2.69
581,2417.0,1.99,3.5
582,1679.0,3.01,2.69
583,1758.0,3.0,1.91
584,3059.0,3.03,2.6
585,2307.0,2.98,2.08
586,2630.0,3.99,2.41
587,2965.0,3.0,2.7
588,1999.0,3.01,2.21
589,3036.0,2.02,3.09
590,2979.0,3.0,2.92
591,1879.0,3.99,1.69
592,2251.0,2.97,3.4
593,1410.0,2.0,2.62
594,1953.0,3.01,2.8
595,2079.0,3.0,2.3
596,1763.0,2.99,2.1
597,1715.0,2.0,2.7
598,1349.0,2.0,2.4
599,1514.0,1.99,3.27
600,3107.0,3.01,3.28
601,2365.0,2.98,3.5
602,2125.0,2.99,2.19
603,2362.0,2.02,3.71
604,1672.0,3.01,2.71
605,2435.0,3.96,3.49
606,1870.0,1.98,2.19
607,2355.0,3.01,2.71
608,1767.0,2.0,2.68
609,1186.0,3.99,2.1
610,2637.0,1.98,3.11
611,2462.0,3.0,3.52
612,2331.0,3.03,3.49
613,1871.0,3.0,1.81
614,2004.0,2.0,2.3
615,2152.0,2.0,1.8
616,2278.0,3.0,3.32
617,3259.0,1.99,3.0
618,1799.0,3.02,2.1
619,1687.0,2.0,1.98
620,1739.0,2.0,3.61
621,1886.0,4.0,1.91
622,1946.0,2.98,2.4
623,1842.0,2.99,2.61
624,1584.0,4.02,1.79
625,2681.0,2.98,3.5
626,1224.0,1.96,1.99
627,2183.0,2.0,2.0
628,1708.0,1.99,2.68
629,1050.0,1.99,2.09
630,2066.0,3.0,3.68
631,1811.0,3.04,2.71
632,1655.0,3.02,2.88
633,1941.0,2.99,2.2
634,2375.0,2.01,2.31
635,2356.0,4.01,3.49
636,2144.0,2.0,2.62
637,1331.0,1.99,3.18
638,2316.0,2.0,3.48
639,1759.0,4.0,2.69
640,1594.0,3.0,2.7
641,1733.0,2.99,2.77
642,2115.0,2.98,1.81
643,2409.0,3.0,3.39
644,1427.0,3.0,3.41
645,2130.0,2.98,3.53
646,1822.0,3.01,1.71
647,2033.0,2.01,2.31
648,1447.0,4.01,2.0
649,1810.0,3.01,2.68
650,1817.0,1.98,1.78
651,1081.0,3.01,2.1
652,1373.0,2.01,2.7
653,1370.0,3.99,2.11
654,1491.0,2.0,2.8
655,1995.0,2.0,2.69
656,2119.0,3.01,2.08
657,1929.0,3.01,2.0
658,2303.0,3.0,3.51
659,1925.0,3.01,2.01
660,1794.0,3.01,1.81
661,1643.0,4.01,2.8
662,1431.0,3.0,1.89
663,1937.0,2.99,2.39
664,2487.0,2.02,2.88
665,1211.0,3.01,1.72
666,1840.0,2.01,2.71
667,2051.0,4.01,2.79
668,1988.0,2.99,2.89
669,2744.0,4.0,3.39
670,1573.0,2.99,2.49
671,1805.0,3.0,1.9
672,1362.0,3.0,1.7
673,1686.0,2.01,2.47
674,1468.0,3.0,2.31
675,2069.0,2.99,2.5
676,2918.0,2.0,3.5
677,2088.0,3.01,2.29
678,3206.0,2.98,3.42
679,1809.0,2.01,1.9
680,2139.0,3.01,2.12
681,1905.0,4.01,2.3
682,3286.0,3.02,2.12
683,2427.0,2.02,3.5
684,1909.0,2.99,2.59
685,1604.0,3.03,3.1
686,1345.0,3.0,1.48
687,1543.0,3.02,1.51
688,1790.0,2.01,1.69
689,1784.0,2.99,2.18
690,1761.0,3.02,2.5
691,1883.0,2.0,2.69
692,1560.0,1.99,2.09
693,2231.0,2.0,3.52
694,3220.0,3.99,2.61
695,2749.0,3.01,2.71
696,2339.0,2.98,3.19
697,2391.0,3.0,3.5
698,1851.0,4.0,2.61
699,1375.0,3.01,2.4
700,2238.0,2.01,2.2
701,1752.0,3.01,2.71
702,1627.0,3.0,1.62
703,2805.0,3.0,3.09
704,2038.0,2.99,2.88
705,2782.0,1.99,2.29
706,1258.0,2.01,2.9
707,1834.0,3.0,2.49
708,2981.0,1.99,2.5
709,2604.0,3.0,3.41
710,2003.0,3.01,2.31
711,1707.0,2.99,2.6
712,1563.0,3.0,3.68
713,2047.0,2.98,2.6
714,3464.0,2.97,2.13
715,3038.0,2.98,3.21
716,3054.0,3.0,2.7
717,1737.0,4.01,2.7
718,2525.0,2.99,3.02
719,2100.0,3.99,2.59
720,1553.0,3.97,2.43
721,1499.0,3.01,2.32
722,1528.0,2.99,2.61
723,1846.0,3.0,2.5
724,3472.0,3.0,2.1
725,2690.0,2.01,2.91
726,1623.0,1.99,2.99
727,2237.0,3.02,2.08
728,3175.0,3.03,2.11
729,2842.0,1.99,2.1
730,2137.0,2.02,2.31
731,1902.0,3.01,1.79
732,1664.0,3.0,2.7
733,1506.0,2.01,2.71
734,1601.0,1.99,2.51
735,2382.0,4.02,3.52
736,1609.0,3.0,1.69
737,1533.0,1.99,2.68
738,2690.0,3.0,3.0
739,1471.0,3.0,1.69
740,3409.0,3.01,2.91
741,2029.0,3.0,1.51
742,2325.0,1.99,3.52
743,2612.0,2.02,3.51
744,1338.0,2.99,2.22
745,1894.0,2.98,2.71
746,2435.0,3.01,3.61
747,1865.0,2.0,2.7
748,2442.0,4.0,3.49
749,1925.0,3.0,2.1
750,1733.0,3.0,2.62
751,2152.0,2.0,2.1
752,1821.0,2.96,2.4
753,1666.0,2.99,1.69
754,1205.0,3.01,1.81
755,2344.0,3.01,3.49
756,1749.0,2.99,1.5
757,1507.0,1.98,2.29
758,1346.0,2.99,2.3
759,1506.0,2.99,2.01
760,1916.0,4.01,1.48
761,1214.0,2.98,2.93
762,3340.0,2.99,2.11
763,1758.0,2.99,2.12
764,1645.0,2.99,2.1
765,2923.0,3.02,2.81
766,3054.0,3.0,2.59
767,3419.0,4.0,2.88
768,2443.0,3.99,2.21
769,1306.0,3.01,2.69
770,1796.0,2.99,2.61
771,2539.0,2.99,2.42
772,1565.0,2.01,1.49
773,1152.0,3.01,2.52
774,1729.0,1.99,2.69
775,1979.0,4.0,2.3
776,1741.0,3.99,2.69
777,2591.0,2.99,3.49
778,2857.0,2.01,3.5
779,1314.0,2.0,1.82
780,1516.0,3.02,3.11
781,1792.0,3.01,2.3
782,2424.0,4.0,3.48
783,1440.0,2.98,1.79
784,1498.0,1.99,1.71
785,1821.0,3.0,2.19
786,3163.0,1.99,3.6
787,1883.0,3.02,2.71
788,2031.0,2.98,2.01
789,1944.0,3.0,2.78
790,2147.0,2.01,2.32
791,1836.0,1.97,2.29
792,2114.0,3.99,3.3
793,1879.0,2.99,3.49
794,2294.0,3.02,3.49
795,1380.0,4.0,2.2
796,2469.0,1.99,3.5
797,1967.0,3.0,1.62
798,2948.0,3.02,3.1
799,3270.0,3.0,2.17
800,1491.0,3.01,2.3
801,1902.0,4.01,2.11
802,2377.0,2.98,3.61
803,3105.0,3.0,2.4
804,1782.0,2.99,2.7
805,2241.0,3.02,3.5
806,2424.0,4.0,3.5
807,2324.0,3.01,3.41
808,1602.0,2.99,2.89
809,1695.0,4.01,2.6
810,2515.0,3.0,3.21
811,2339.0,3.0,3.49
812,2675.0,3.0,3.28
813,1347.0,1.99,2.01
814,1799.0,3.01,2.68
815,2962.0,2.02,2.49
816,2046.0,2.02,2.1
817,3159.0,2.99,2.88
818,2608.0,2.98,2.2
819,1786.0,3.01,3.41
820,1610.0,3.0,2.63
821,1756.0,3.04,2.7
822,2195.0,1.99,3.48
823,2238.0,2.98,2.3
824,2531.0,3.03,2.69
825,2875.0,3.01,3.31
826,2274.0,1.99,3.38
827,1565.0,3.0,1.98
828,2070.0,2.0,2.32
829,1752.0,4.01,2.69
830,1620.0,4.01,2.68
831,2715.0,4.01,3.51
832,2461.0,2.0,3.51
833,3337.0,3.01,2.59
834,2748.0,4.02,3.4
835,2563.0,2.01,2.93
836,2417.0,2.99,3.4
837,1573.0,3.0,2.7
838,2458.0,3.02,3.49
839,3167.0,3.01,3.61
840,1893.0,1.98,1.9
841,2107.0,3.0,2.01
842,1188.0,3.01,2.31
843,1613.0,1.99,1.7
844,1622.0,3.02,2.91
845,1531.0,2.99,2.51
846,1273.0,3.0,2.4
847,1207.0,3.0,2.0
848,1841.0,2.01,2.69
849,2386.0,3.99,3.5
850,1578.0,3.0,2.21
851,1692.0,3.02,1.5
852,2518.0,2.99,3.52
853,1674.0,3.98,2.0
854,1754.0,3.99,2.7
855,2006.0,2.02,2.0
856,2381.0,3.01,3.5
857,2074.0,3.02,3.51
858,2390.0,3.97,3.47
859,1827.0,3.0,2.29
860,2068.0,2.0,2.69
861,1564.0,2.98,1.81
862,2351.0,4.0,2.79
863,1673.0,3.99,2.72
864,2265.0,2.99,3.49
865,1349.0,2.97,2.32
866,1533.0,2.99,2.49
867,2399.0,2.99,2.41
868,1937.0,2.01,2.69
869,2191.0,3.0,3.51
870,2014.0,4.01,2.68
871,2433.0,3.02,3.7
872,1745.0,2.01,3.42
873,2021.0,3.0,2.59
874,1482.0,3.01,2.32
875,1578.0,1.99,2.01
876,2797.0,3.0,2.93
877,2529.0,2.99,3.48
878,1455.0,1.98,2.59
879,2177.0,4.01,2.7
880,1758.0,1.98,1.72
881,2173.0,2.01,2.51
882,1393.0,2.0,2.09
883,1967.0,3.01,2.18
884,1358.0,3.99,1.81
885,2090.0,2.01,1.5
886,1752.0,2.99,1.93
887,2467.0,3.0,3.5
888,1165.0,2.99,1.48
889,2567.0,2.02,3.51
890,1917.0,3.01,1.99
891,1731.0,2.0,1.72
892,2281.0,3.0,2.61
893,1736.0,3.0,2.7
894,2345.0,3.0,3.48
895,1115.0,2.0,2.12
896,2841.0,4.0,2.3
897,1414.0,3.01,3.39
898,2590.0,3.0,3.5
899,1971.0,3.0,2.09
900,1767.0,1.99,3.11
901,1742.0,3.0,2.22
902,1275.0,2.0,1.68
903,2174.0,4.01,3.49
904,2128.0,3.01,3.7
905,1431.0,3.0,2.39
906,1881.0,3.01,2.69
907,1136.0,1.98,1.59
908,2084.0,2.0,1.91
909,2046.0,4.01,1.49
910,1957.0,3.99,2.2
911,1524.0,1.98,2.71
912,1672.0,2.01,2.69
913,1638.0,2.02,2.0
914,1345.0,2.0,1.89
915,3612.0,4.0,3.38
916,1744.0,3.01,2.59
917,1921.0,2.02,1.8
918,2601.0,4.02,3.49
919,2355.0,2.0,3.51
920,1573.0,2.0,2.02
921,1258.0,3.01,2.51
922,2127.0,3.01,2.1
923,2490.0,3.0,3.19
924,2075.0,3.99,3.51
925,2330.0,4.01,3.49
926,1505.0,4.0,1.8
927,2953.0,3.99,3.4
928,2835.0,4.02,2.3
929,1682.0,3.01,2.7
