proband_id,Workout_Type,Calories_Burned,Session_Duration (hours)
195,Cardio,1293.6,1.47
196,Yoga,820.8,1.14
197,Yoga,826.62,1.15
198,Cardio,1234.24,1.4
199,Cardio,957.6,1.0
200,Yoga,961.85,1.46
201,Strength,1425.6,1.44
202,Yoga,864.0,1.2
203,HIIT,1348.64,1.02
204,Yoga,753.08,1.14
205,HIIT,2774.2,1.94
206,Strength,2082.6,1.78
207,HIIT,1026.63,0.85
208,Yoga,507.28,0.77
209,Yoga,573.68,0.87
210,Yoga,679.18,1.03
211,Cardio,799.34,0.91
212,HIIT,652.81,0.54
213,Strength,1253.84,1.16
214,Cardio,1073.41,1.12
215,HIIT,1516.74,1.15
216,Yoga,1293.8,1.66
217,Yoga,892.06,1.24
218,Cardio,837.52,0.95
219,Cardio,545.1,0.62
220,HIIT,2797.08,1.95
221,Yoga,1200.28,1.54
222,Cardio,518.26,0.59
223,Cardio,1943.3,1.87
224,HIIT,1914.0,1.45
225,Cardio,1880.95,1.81
226,Yoga,1301.6,1.67
227,Cardio,960.0,1.0
228,Strength,1598.4,1.48
229,HIIT,1490.36,1.13
230,Cardio,1766.64,1.7
231,Strength,573.16,0.58
232,Yoga,481.8,0.73
233,Cardio,961.6,1.0
234,Yoga,903.0,1.25
235,Strength,1557.79,1.44
236,Strength,1499.95,1.39
237,Strength,1386.0,1.4
238,Yoga,741.6,1.03
239,Strength,1206.58,1.12
240,Yoga,898.42,1.36
241,Strength,1134.0,1.05
242,Strength,574.2,0.58
243,Yoga,1499.9,1.92
244,Cardio,685.78,0.78
245,Strength,734.6,0.74
246,Strength,672.59,0.68
247,Strength,2214.7,1.89
248,Strength,1152.71,1.07
249,HIIT,1412.4,1.07
250,Yoga,998.3,1.39
251,Cardio,666.98,0.76
252,HIIT,1050.79,0.87
253,Strength,1524.07,1.41
254,Yoga,972.0,1.35
255,Yoga,1543.21,1.98
256,Yoga,999.13,1.39
257,Strength,2024.1,1.73
258,Strength,1190.16,1.2
259,HIIT,1306.8,1.08
260,Strength,2119.33,1.81
261,Yoga,1409.63,1.81
262,Yoga,714.1,1.08
263,Strength,1364.96,1.38
264,Yoga,1363.95,1.75
265,Cardio,1903.2,1.83
266,Yoga,870.41,1.32
267,Cardio,1419.62,1.48
268,HIIT,1231.96,1.02
269,Cardio,1882.4,1.81
270,Cardio,686.4,0.78
271,Cardio,1955.2,1.88
272,HIIT,1572.11,1.19
273,HIIT,1441.21,1.19
274,Cardio,667.58,0.76
275,Cardio,801.53,0.91
276,Yoga,528.48,0.8
277,Yoga,999.97,1.39
278,HIIT,1914.0,1.45
279,Yoga,1056.64,1.47
280,Yoga,786.11,1.09
281,Strength,1899.77,1.62
282,Yoga,475.2,0.72
283,Cardio,781.06,0.89
284,Strength,1188.99,1.1
285,Yoga,786.11,1.09
286,Yoga,1072.8,1.49
287,HIIT,1161.6,0.96
288,Cardio,1351.34,1.41
289,Cardio,979.2,1.02
290,HIIT,968.88,0.8
291,Yoga,487.51,0.74
292,HIIT,653.4,0.54
293,HIIT,1474.86,1.22
294,Cardio,1716.0,1.65
295,Yoga,1334.83,1.71
296,Strength,1502.45,1.39
297,HIIT,1321.1,1.0
298,Cardio,633.02,0.72
299,Cardio,887.18,1.01
300,HIIT,1752.67,1.33
301,Cardio,535.82,0.61
302,Cardio,2008.74,1.93
303,HIIT,2455.82,1.72
304,HIIT,885.71,0.73
305,Yoga,726.59,1.01
306,HIIT,1752.9,1.45
307,Strength,2226.42,1.9
308,Cardio,722.26,0.82
309,Strength,1607.86,1.49
310,Strength,2081.0,1.78
311,HIIT,738.1,0.61
312,HIIT,2755.65,1.93
313,HIIT,1365.94,1.04
314,Strength,1483.3,1.37
315,Cardio,1924.0,1.85
316,Yoga,469.03,0.71
317,Cardio,1869.12,1.8
318,HIIT,1661.81,1.26
319,Cardio,1775.66,1.71
320,Strength,1113.33,1.03
321,Cardio,457.18,0.52
322,Cardio,660.0,0.75
323,Cardio,1913.6,1.84
324,Yoga,469.03,0.71
325,Cardio,932.8,1.06
326,Cardio,1046.4,1.09
327,Cardio,731.06,0.83
328,Cardio,1073.41,1.12
329,Cardio,484.0,0.55
330,Strength,1895.4,1.62
331,HIIT,1770.27,1.34
332,Cardio,1018.45,1.06
333,Cardio,1197.0,1.25
334,Yoga,828.0,1.15
335,Strength,663.3,0.67
336,Strength,1839.73,1.57
337,Yoga,841.7,1.17
338,Yoga,975.91,1.48
339,Strength,1050.35,1.06
340,HIIT,772.99,0.64
341,HIIT,2717.0,1.9
342,HIIT,893.77,0.74
343,Yoga,887.81,1.23
344,HIIT,2289.76,1.6
345,HIIT,1606.37,1.33
346,Yoga,389.75,0.59
347,HIIT,1874.4,1.42
348,Yoga,734.4,1.02
349,Strength,1167.37,1.08
350,Strength,1088.98,1.01
351,Yoga,958.74,1.45
352,Strength,1188.0,1.2
353,Yoga,369.26,0.56
354,HIIT,1890.75,1.43
355,HIIT,1779.03,1.35
356,Yoga,1182.86,1.52
357,HIIT,1321.3,1.09
358,Yoga,534.6,0.81
359,Yoga,769.76,1.07
360,HIIT,1337.64,1.01
361,Strength,1521.53,1.41
362,Strength,2050.65,1.75
363,Cardio,607.75,0.69
364,Cardio,712.8,0.81
365,Yoga,435.6,0.66
366,Strength,1101.6,1.02
367,Strength,1498.7,1.39
368,Strength,1377.35,1.39
369,HIIT,967.12,0.8
370,Cardio,977.69,1.11
371,HIIT,1573.42,1.19
372,Strength,1294.92,1.2
373,Yoga,330.0,0.5
374,Cardio,979.2,1.02
375,Yoga,481.8,0.73
376,Yoga,1449.68,1.86
377,HIIT,1625.82,1.34
378,Strength,1544.4,1.43
379,Yoga,844.8,1.28
380,Strength,2022.54,1.73
381,Yoga,940.84,1.31
382,Strength,1283.06,1.19
383,HIIT,2631.2,1.84
384,Cardio,993.5,1.13
385,Yoga,1411.8,1.81
386,Strength,1393.36,1.41
387,Cardio,992.59,1.13
388,Yoga,388.69,0.59
389,HIIT,605.0,0.5
390,Yoga,926.48,1.29
391,HIIT,1525.99,1.26
392,HIIT,1584.0,1.2
393,HIIT,701.16,0.58
394,Yoga,827.31,1.15
395,Yoga,711.5,1.08
396,Yoga,745.8,1.13
397,Cardio,570.96,0.65
398,HIIT,1818.56,1.38
399,Cardio,1211.62,1.26
400,Strength,1510.74,1.4
401,Strength,1188.0,1.1
402,Strength,1259.59,1.27
403,Strength,683.1,0.69
404,Cardio,1236.34,1.29
405,Strength,564.3,0.57
406,Yoga,1340.57,1.72
407,Cardio,1822.8,1.75
408,Cardio,1313.58,1.49
409,Yoga,1298.78,1.66
410,Strength,1324.19,1.34
411,HIIT,2731.3,1.91
412,Yoga,771.5,1.17
413,HIIT,1585.1,1.31
414,HIIT,1371.66,1.04
415,Strength,1514.52,1.4
416,Cardio,1141.45,1.19
417,Strength,691.11,0.7
418,HIIT,1331.0,1.1
419,Strength,1459.22,1.35
420,Strength,1491.64,1.38
421,HIIT,2762.02,1.93
422,Yoga,737.86,1.12
423,Strength,1415.98,1.31
424,Strength,2197.91,1.88
425,Yoga,980.83,1.36
426,HIIT,1439.9,1.19
427,HIIT,2370.15,1.66
428,Yoga,934.44,1.3
429,Strength,1435.2,1.33
430,Strength,1437.6,1.33
431,Yoga,1052.08,1.46
432,Cardio,1103.08,1.15
433,Yoga,900.0,1.25
434,Strength,1953.9,1.67
435,Strength,2328.3,1.99
436,Strength,2010.85,1.72
437,Cardio,1429.21,1.49
438,Yoga,745.8,1.13
439,Yoga,1239.25,1.59
440,Cardio,1671.82,1.61
441,Strength,1315.4,1.22
442,HIIT,2876.51,2.01
443,Yoga,1535.42,1.97
444,Strength,1587.6,1.47
445,Cardio,906.4,1.03
446,Yoga,811.06,1.23
447,Yoga,1023.25,1.42
448,Strength,1274.4,1.18
449,HIIT,1186.88,0.98
450,HIIT,700.52,0.58
451,HIIT,1270.5,1.05
452,HIIT,1806.89,1.37
453,Strength,1383.55,1.28
454,Strength,2003.78,1.71
455,Strength,1263.6,1.17
456,Cardio,1965.6,1.89
457,Yoga,858.0,1.3
458,Cardio,1723.74,1.66
459,Yoga,1064.71,1.48
460,HIIT,2819.27,1.97
461,Yoga,1223.66,1.57
462,Strength,1080.9,1.0
463,HIIT,1415.7,1.17
464,HIIT,1306.8,1.08
465,HIIT,1538.1,1.27
466,Cardio,482.24,0.55
467,Strength,2346.27,2.01
468,Yoga,848.18,1.18
469,HIIT,1499.04,1.24
470,Yoga,718.8,1.0
471,Yoga,792.0,1.1
472,Strength,1895.4,1.62
473,Yoga,652.81,0.99
474,Cardio,1181.78,1.23
475,Cardio,703.36,0.8
476,Strength,1159.35,1.17
477,HIIT,738.1,0.61
478,HIIT,1309.18,1.08
479,HIIT,1861.2,1.41
480,Yoga,1178.71,1.51
481,Strength,1247.4,1.26
482,HIIT,1925.59,1.46
483,HIIT,822.8,0.68
484,Strength,2059.2,1.76
485,Strength,1123.2,1.04
486,Strength,634.75,0.64
487,Strength,1239.75,1.25
488,Strength,1296.9,1.31
489,HIIT,1212.2,1.0
490,Cardio,1830.4,1.76
491,HIIT,1573.42,1.19
492,HIIT,1366.06,1.13
493,Cardio,1872.0,1.8
494,Strength,1376.1,1.39
495,Cardio,2036.83,1.96
496,Cardio,651.2,0.74
497,Strength,892.62,0.9
498,Yoga,369.26,0.56
499,Yoga,455.4,0.69
500,HIIT,954.16,0.79
501,Yoga,820.12,1.14
502,HIIT,2529.15,1.77
503,HIIT,666.1,0.55
504,HIIT,1003.39,0.83
505,Cardio,1028.06,1.07
506,HIIT,2596.59,1.82
507,Cardio,1127.42,1.28
508,Strength,1435.5,1.45
509,Strength,1556.5,1.44
510,Strength,971.96,0.98
511,HIIT,1585.32,1.2
512,Strength,959.43,0.97
513,HIIT,1572.11,1.19
514,Yoga,970.38,1.35
515,Yoga,1072.8,1.49
516,Cardio,563.2,0.64
517,Strength,972.85,0.98
518,Cardio,896.78,1.02
519,Strength,1314.31,1.22
520,HIIT,1332.09,1.01
521,HIIT,1450.79,1.1
522,Yoga,936.78,1.3
523,HIIT,871.2,0.72
524,Yoga,739.87,1.12
525,HIIT,2541.48,1.78
526,HIIT,1017.32,0.84
527,Cardio,1849.78,1.78
528,HIIT,1777.54,1.35
529,Yoga,917.4,1.39
530,HIIT,2845.7,1.99
531,Cardio,1200.0,1.25
532,Cardio,1027.2,1.07
533,Cardio,536.8,0.61
534,Yoga,872.78,1.32
535,Cardio,1114.53,1.16
536,Cardio,846.34,0.96
537,Strength,1394.36,1.29
538,Cardio,1613.24,1.55
539,Strength,1943.69,1.66
540,Strength,1297.08,1.2
541,Cardio,896.78,1.02
542,Yoga,965.35,1.46
543,HIIT,1490.36,1.13
544,Cardio,1717.32,1.65
545,Cardio,1057.92,1.2
546,Cardio,668.19,0.76
547,Yoga,1467.53,1.88
548,Strength,1905.63,1.63
549,HIIT,1609.3,1.33
550,Strength,1218.37,1.13
551,Yoga,343.2,0.52
552,HIIT,1683.43,1.39
553,Cardio,1831.81,1.76
554,Strength,1417.16,1.31
555,Yoga,1269.44,1.63
556,Yoga,488.84,0.74
557,Strength,1219.38,1.13
558,Cardio,1028.06,1.07
559,Yoga,1504.24,1.93
560,Strength,1079.1,1.0
561,Strength,2177.87,1.86
562,Yoga,600.05,0.91
563,Yoga,863.03,1.31
564,Strength,960.3,0.97
565,Strength,1111.47,1.03
566,Cardio,1277.86,1.33
567,Strength,585.16,0.59
568,Yoga,771.04,1.07
569,HIIT,1874.4,1.42
570,HIIT,1940.4,1.47
571,HIIT,2819.27,1.97
572,Strength,2331.88,1.99
573,Yoga,1401.84,1.8
574,Yoga,720.05,1.09
575,Yoga,778.9,1.08
576,Cardio,1777.03,1.71
577,HIIT,1727.76,1.31
578,Cardio,1083.38,1.23
579,Strength,1440.14,1.46
580,HIIT,2389.94,1.67
581,Cardio,1709.54,1.64
582,Cardio,2069.6,1.99
583,Strength,1244.07,1.15
584,Cardio,679.45,0.77
585,Yoga,964.48,1.46
586,HIIT,1955.23,1.48
587,Strength,1068.23,1.08
588,Yoga,356.72,0.54
589,Yoga,336.29,0.51
590,HIIT,1922.38,1.46
591,HIIT,966.24,0.8
592,Cardio,1420.8,1.48
593,Strength,1133.06,1.05
594,Cardio,1055.12,1.1
595,Strength,1167.37,1.08
596,Strength,1018.77,1.03
597,Cardio,2057.62,1.98
598,Strength,1575.49,1.46
599,Cardio,747.32,0.85
600,Cardio,1018.45,1.06
601,HIIT,2449.06,1.71
602,Strength,1210.61,1.12
603,Yoga,985.58,1.37
604,Yoga,1389.47,1.78
605,HIIT,2704.78,1.89
606,Yoga,1027.88,1.43
607,HIIT,1358.47,1.03
608,Cardio,1938.86,1.86
609,Cardio,1187.42,1.24
610,Strength,535.57,0.54
611,Strength,2287.91,1.96
612,Yoga,1419.6,1.82
613,Yoga,356.72,0.54
614,Cardio,1238.4,1.29
615,Cardio,1211.62,1.26
616,Cardio,1341.76,1.4
617,Yoga,469.03,0.71
618,Yoga,667.81,1.01
619,HIIT,1587.96,1.2
620,HIIT,1376.89,1.14
621,HIIT,1163.71,0.96
622,Yoga,848.18,1.18
623,Cardio,1358.11,1.41
624,HIIT,605.0,0.5
625,HIIT,2547.36,1.78
626,Cardio,1225.42,1.39
627,Strength,1262.55,1.17
628,Strength,2256.36,1.93
629,Yoga,541.2,0.82
630,Yoga,906.44,1.26
631,HIIT,2388.1,1.67
632,Cardio,1363.2,1.42
633,Strength,1304.42,1.32
634,Cardio,1151.04,1.2
635,Strength,1825.2,1.56
636,Cardio,658.8,0.75
637,HIIT,677.6,0.56
638,HIIT,2667.93,1.87
639,Strength,2137.81,1.83
640,Yoga,1404.0,1.8
641,HIIT,1440.0,1.09
642,Strength,1445.4,1.46
643,HIIT,968.88,0.8
644,Strength,1544.4,1.43
645,Strength,2172.85,1.86
646,Yoga,1044.87,1.45
647,Cardio,1229.82,1.28
648,HIIT,1569.49,1.19
649,Yoga,1350.44,1.73
650,Yoga,817.66,1.24
651,Strength,1553.9,1.44
652,Strength,1812.1,1.55
653,HIIT,1636.8,1.24
654,Strength,951.26,0.96
655,HIIT,2631.2,1.84
656,Yoga,514.8,0.78
657,Cardio,1448.39,1.51
658,Strength,1838.31,1.57
659,Cardio,1095.31,1.14
660,Strength,623.13,0.63
661,Strength,1607.86,1.49
662,Strength,1392.04,1.29
663,Yoga,749.42,1.04
664,Yoga,382.8,0.58
665,HIIT,1115.22,0.92
666,HIIT,824.3,0.68
667,HIIT,1966.8,1.49
668,Yoga,931.45,1.41
669,HIIT,1694.0,1.4
670,Cardio,1371.66,1.43
671,Yoga,1049.45,1.46
672,Strength,1553.9,1.44
673,Strength,1242.0,1.15
674,Yoga,886.34,1.23
675,HIIT,1963.52,1.49
676,Strength,841.5,0.85
677,Strength,1563.39,1.45
678,HIIT,1345.28,1.02
679,Strength,1222.43,1.13
680,Strength,1503.7,1.39
681,Cardio,1238.4,1.29
682,HIIT,1447.16,1.1
683,HIIT,2189.58,1.53
684,Yoga,734.4,1.02
685,Strength,929.75,0.94
686,Strength,1239.93,1.15
687,Cardio,1330.01,1.51
688,Strength,1145.75,1.06
689,Cardio,1355.86,1.41
690,HIIT,1886.03,1.43
691,HIIT,2445.3,1.71
692,Yoga,739.2,1.12
693,Strength,1839.73,1.57
694,Strength,1124.14,1.04
695,Strength,1370.46,1.27
696,HIIT,1294.7,1.07
697,Strength,2223.0,1.9
698,Yoga,819.43,1.14
699,Cardio,792.0,0.9
700,Cardio,1220.22,1.27
701,Strength,2034.23,1.74
702,Yoga,936.0,1.3
703,HIIT,1718.86,1.3
704,HIIT,967.12,0.8
705,HIIT,1317.8,1.0
706,Strength,1347.62,1.36
707,Cardio,660.6,0.75
708,Strength,1492.88,1.38
709,HIIT,1306.8,1.08
710,Strength,1384.7,1.28
711,HIIT,1388.97,1.15
712,Cardio,535.82,0.61
713,Cardio,1228.8,1.28
714,Yoga,936.78,1.3
715,Strength,1134.0,1.05
716,Cardio,1412.38,1.47
717,Strength,2259.84,1.93
718,HIIT,906.68,0.75
719,Strength,1240.97,1.15
720,Cardio,916.86,1.04
721,Yoga,876.94,1.22
722,Cardio,598.4,0.68
723,Yoga,851.02,1.18
724,Strength,1188.0,1.1
725,Strength,583.57,0.59
726,Strength,1219.38,1.13
727,Strength,1406.34,1.3
728,Strength,941.36,0.95
729,Yoga,956.0,1.33
730,Cardio,1230.85,1.28
731,Cardio,819.14,0.93
732,HIIT,2391.77,1.67
733,Cardio,1302.4,1.48
734,Yoga,829.38,1.15
735,Cardio,651.79,0.74
736,HIIT,1236.44,1.02
737,Strength,1587.6,1.47
738,Strength,752.4,0.76
739,Cardio,1004.11,1.14
740,Yoga,763.2,1.06
741,HIIT,1757.06,1.33
742,HIIT,2243.37,1.57
743,Cardio,1220.22,1.27
744,Strength,1444.09,1.46
745,Yoga,427.83,0.65
746,HIIT,1212.2,1.0
747,Cardio,1656.14,1.59
748,HIIT,2714.91,1.9
749,Cardio,1276.8,1.33
750,Cardio,800.8,0.91
751,HIIT,1811.41,1.37
752,Yoga,447.98,0.68
753,Strength,1370.46,1.27
754,Cardio,1421.98,1.48
755,Strength,2144.39,1.83
756,Cardio,536.8,0.61
757,Cardio,891.22,1.01
758,HIIT,1757.06,1.33
759,Cardio,950.4,1.08
760,Cardio,1113.6,1.16
761,Strength,1568.61,1.45
762,HIIT,1176.9,0.97
763,Strength,998.08,1.01
764,HIIT,1793.7,1.36
765,Strength,1166.4,1.08
766,Cardio,579.74,0.66
767,Strength,1243.04,1.15
768,HIIT,618.22,0.51
769,HIIT,1503.55,1.14
770,Cardio,1365.47,1.42
771,HIIT,1958.48,1.48
772,Cardio,1224.31,1.39
773,Cardio,950.4,1.08
774,Yoga,1334.83,1.71
775,Yoga,909.14,1.38
776,Yoga,481.8,0.73
777,Cardio,1880.95,1.81
778,Cardio,737.86,0.84
779,Yoga,929.57,1.29
780,Yoga,613.24,0.93
781,Cardio,536.8,0.61
782,Strength,2269.8,1.94
783,Strength,723.36,0.73
784,Cardio,1017.6,1.06
785,HIIT,1624.95,1.23
786,Cardio,641.82,0.73
787,Strength,2201.29,1.88
788,Cardio,836.76,0.95
789,Cardio,1084.8,1.13
790,HIIT,809.96,0.67
791,Yoga,560.49,0.85
792,Yoga,812.54,1.23
793,Cardio,790.56,0.9
794,Cardio,1727.73,1.66
795,Strength,1196.81,1.21
796,Strength,1989.0,1.7
797,Yoga,930.6,1.41
798,Yoga,858.94,1.19
799,Cardio,1401.6,1.46
800,Cardio,1324.8,1.38
801,Strength,1285.2,1.19
802,Yoga,660.6,1.0
803,Cardio,996.74,1.04
804,Cardio,1864.46,1.79
805,Strength,2069.31,1.77
806,Cardio,2051.95,1.97
807,Strength,1599.73,1.48
808,Yoga,673.2,1.02
809,HIIT,1089.0,0.9
810,Cardio,950.4,1.08
811,Cardio,1906.24,1.84
812,Cardio,1344.0,1.4
813,HIIT,1586.64,1.2
814,Yoga,1512.04,1.94
815,Strength,1429.49,1.44
816,HIIT,1381.91,1.14
817,Strength,1307.99,1.32
818,Strength,1188.0,1.1
819,Strength,1499.95,1.39
820,Strength,682.48,0.69
821,Yoga,1418.51,1.82
822,Cardio,661.2,0.75
823,Yoga,456.23,0.69
824,Cardio,957.46,1.09
825,Yoga,349.8,0.53
826,Cardio,1021.73,1.16
827,Strength,1221.42,1.13
828,HIIT,1531.2,1.16
829,Cardio,2048.8,1.97
830,Strength,2154.46,1.84
831,Strength,2196.22,1.88
832,Cardio,2083.2,2.0
833,HIIT,1705.64,1.29
834,HIIT,1462.77,1.21
835,Strength,553.39,0.56
836,HIIT,1796.7,1.36
837,Yoga,1510.87,1.94
838,HIIT,2575.98,1.8
839,HIIT,1654.69,1.37
840,Cardio,1132.8,1.18
841,Yoga,740.98,1.03
842,Strength,1412.44,1.31
843,HIIT,1456.84,1.1
844,Cardio,1142.4,1.19
845,Strength,1527.88,1.41
846,Cardio,970.41,1.01
847,HIIT,1699.96,1.29
848,HIIT,2461.49,1.72
849,HIIT,2727.1,1.91
850,Strength,594.54,0.6
851,HIIT,1511.12,1.25
852,Strength,2206.37,1.88
853,Yoga,892.8,1.24
854,Strength,1886.6,1.61
855,Yoga,792.0,1.2
856,Strength,2022.54,1.73
857,HIIT,2234.23,1.56
858,Yoga,1449.68,1.86
859,Yoga,409.57,0.62
860,Strength,891.0,0.9
861,Yoga,408.83,0.62
862,HIIT,1942.02,1.47
863,Yoga,1215.86,1.56
864,Yoga,1410.71,1.81
865,HIIT,909.15,0.75
866,Yoga,694.89,1.05
867,Strength,1288.41,1.19
868,Strength,1787.35,1.53
869,Cardio,1989.46,1.91
870,Yoga,1194.32,1.53
871,Strength,1610.54,1.49
872,Cardio,500.69,0.57
873,Strength,1392.04,1.29
874,Cardio,987.98,1.03
875,Yoga,1043.13,1.45
876,HIIT,822.8,0.68
877,Yoga,1417.42,1.82
878,HIIT,1862.75,1.41
879,Cardio,703.36,0.8
880,HIIT,1454.42,1.1
881,Cardio,1209.6,1.26
882,Cardio,732.39,0.83
883,Cardio,484.88,0.55
884,HIIT,616.54,0.51
885,Yoga,1059.28,1.47
886,Yoga,895.03,1.24
887,Cardio,1843.63,1.77
888,Strength,1155.6,1.07
889,Yoga,1301.6,1.67
890,Cardio,979.2,1.02
891,Strength,1189.98,1.1
892,HIIT,1809.91,1.37
893,Cardio,1725.07,1.66
894,Strength,2303.13,1.97
895,HIIT,1994.86,1.51
896,HIIT,1768.8,1.34
897,HIIT,1281.43,1.06
898,Yoga,1490.95,1.91
899,Strength,781.39,0.79
900,Cardio,1258.65,1.31
901,Yoga,542.18,0.82
902,Strength,1587.6,1.47
903,Yoga,1432.99,1.84
904,Cardio,1204.5,1.37
905,HIIT,1379.4,1.14
